year,quintil_oecd,pli0096_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
2007,2nd Quintile,Seldom,0.019813672525689153,369,20337,0.019780349064419514,0.01984699598695879
2007,2nd Quintile,Never,0.14444861506976478,2671,20337,0.14436455436347848,0.14453267577605108
2007,3rd Quintile,At least once per week,0.019148524972666333,383,20337,0.01911575450934048,0.019181295435992184
2007,3rd Quintile,At least once per month,0.014453297046624751,306,20337,0.01442475826928415,0.014481835823965353
2007,3rd Quintile,Seldom,0.027719530613084777,506,20337,0.027680274977703197,0.027758786248466356
2007,3rd Quintile,Never,0.13732111921476536,2624,20337,0.1372388179433257,0.13740342048620502
2007,4th Quintile,At least once per week,0.02259259953539908,496,20337,0.02255706634460463,0.02262813272619353
2007,4th Quintile,At least once per month,0.019156494514755065,438,20337,0.01912371736582858,0.019189271663681548
2007,4th Quintile,Seldom,0.029435470141722916,588,20337,0.029395053428729962,0.02947588685471587
2007,4th Quintile,Never,0.13338775897273344,2769,20337,0.13330646025574616,0.13346905768972073
2007,5th Quintile,At least once per week,0.025345527039633494,690,20337,0.02530794422538242,0.025383109853884568
2007,5th Quintile,At least once per month,0.022558746581640587,622,20337,0.022523239407564354,0.02259425375571682
2007,5th Quintile,Seldom,0.031756434622794164,853,20337,0.031714504950079526,0.0317983642955088
2007,5th Quintile,Never,0.13507502705230515,3385,20337,0.13499329544416694,0.13515675866044335
2008,1st Quintile,At least once per week,0.010834947122573244,176,19241,0.010810345325441626,0.010859548919704863
2008,1st Quintile,At least once per month,0.0072436269685738795,115,19241,0.007223474955649912,0.007263778981497847
2008,1st Quintile,Seldom,0.013163886018813672,205,19241,0.013136800720294212,0.013190971317333133
2008,1st Quintile,Never,0.15960232534182298,2510,19241,0.15951529291753136,0.1596893577661146
2008,2nd Quintile,At least once per week,0.016681823343972738,276,19241,0.01665138732506879,0.016712259362876684
2008,2nd Quintile,At least once per month,0.01144698216840346,216,19241,0.011421702897794957,0.011472261439011961
2008,2nd Quintile,Seldom,0.01637376622903862,297,19241,0.01634360782210063,0.01640392463597661
2008,2nd Quintile,Never,0.14851850918415976,2553,19241,0.14843400135431634,0.1486030170140032
2008,3rd Quintile,At least once per week,0.016820413140229782,340,19241,0.016789853107959964,0.0168509731724996
2008,3rd Quintile,At least once per month,0.015061520257655711,283,19241,0.015032576293596634,0.015090464221714789
2008,3rd Quintile,Seldom,0.021774645880166775,416,19241,0.021739963087434394,0.021809328672899156
2008,3rd Quintile,Never,0.1444587671643829,2715,19241,0.14437522389299304,0.1445423104357728
2008,4th Quintile,At least once per week,0.023581820548918008,479,19241,0.023545760555249602,0.023617880542586414
2008,4th Quintile,At least once per month,0.018628138922929572,369,19241,0.018596008193324173,0.01866026965253497
2008,4th Quintile,Seldom,0.02459895242449582,486,19241,0.02456214215747755,0.02463576269151409
2008,4th Quintile,Never,0.13814552329601557,2588,19241,0.13806352507477085,0.13822752151726028
2008,5th Quintile,At least once per week,0.026392629873108153,686,19241,0.026354536247185464,0.02643072349903084
2008,5th Quintile,At least once per month,0.01992656911884508,544,19241,0.019893359443834847,0.019959778793855316
2008,5th Quintile,Seldom,0.026541442987464005,683,19241,0.02650324503785146,0.02657964093707655
2008,5th Quintile,Never,0.1402037100084303,3304,19241,0.1401212019079092,0.1402862181089514
2009,1st Quintile,At least once per week,0.010992043972157776,160,17876,0.010967176698927581,0.011016911245387971
2009,1st Quintile,At least once per month,0.00937220650799952,139,17876,0.009349225703720794,0.009395187312278246
2009,1st Quintile,Seldom,0.01682499281472574,231,17876,0.01679431800314423,0.016855667626307247
2009,1st Quintile,Never,0.15645878103998387,2326,17876,0.15637213630640204,0.1565454257735657
2009,2nd Quintile,At least once per week,0.012331097321391479,214,17876,0.012304776732751297,0.01235741791003166
2009,2nd Quintile,At least once per month,0.012618844261895247,223,17876,0.012592222226747505,0.01264546629704299
2009,2nd Quintile,Seldom,0.019269651921581036,312,17876,0.019236864989034447,0.019302438854127624
2009,2nd Quintile,Never,0.1469540606664617,2391,17876,0.14686961720048577,0.1470385041324376
2009,3rd Quintile,At least once per week,0.019372854666451847,332,17876,0.019339981782182172,0.01940572755072152
2009,3rd Quintile,At least once per month,0.014510041654187478,294,17876,0.014481521657132691,0.014538561651242265
