year,bula_h,regtyp,ple0015,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
2019,Bavaria,Rural regions,Yes,0.047606571274026316,105,24980,0.04742423846662173,0.047788904081430904
2019,Bavaria,Rural regions,No,0.9523934287259737,2020,24980,0.9522110959185691,0.9525757615333782
2019,Berlin,Urban regions,Yes,0.07459429530272559,62,24980,0.0742885428413459,0.07490004776410528
2019,Berlin,Urban regions,No,0.9254057046972745,889,24980,0.9250999522358948,0.9257114571586541
2019,Brandenburg,Urban regions,No,1.0,90,24980,1.0,1.0
2019,Brandenburg,Rural regions,Yes,0.07134274919585926,64,24980,0.07097162710050894,0.07171387129120957
2019,Brandenburg,Rural regions,No,0.9286572508041409,937,24980,0.9282861287087906,0.9290283728994911
2019,Mecklenburg-Western Pomerania,Urban regions,No,1.0,89,24980,1.0,1.0
2019,Mecklenburg-Western Pomerania,Rural regions,Yes,0.09710900430755669,34,24980,0.09656839785385765,0.09764961076125572
2019,Mecklenburg-Western Pomerania,Rural regions,No,0.9028909956924432,473,24980,0.9023503892387442,0.9034316021461423
2019,Saxony,Urban regions,Yes,0.04034254592622268,43,24980,0.040055223083824164,0.0406298687686212
2019,Saxony,Urban regions,No,0.9596574540737773,810,24980,0.9593701312313788,0.9599447769161759
2019,Saxony,Rural regions,Yes,0.038958333805099894,37,24980,0.03866822822470045,0.03924843938549934
2019,Saxony,Rural regions,No,0.9610416661949002,718,24980,0.9607515606145007,0.9613317717752996
2019,Saxony-Anhalt,Urban regions,No,1.0,180,24980,1.0,1.0
2019,Saxony-Anhalt,Rural regions,Yes,0.06552253546104293,34,24980,0.0651259501295017,0.06591912079258416
2019,Saxony-Anhalt,Rural regions,No,0.9344774645389571,651,24980,0.9340808792074159,0.9348740498704983
2019,Thuringa,Urban regions,No,1.0,270,24980,1.0,1.0
2019,Thuringa,Rural regions,No,1.0,597,24980,1.0,1.0
2021,Schleswig-Holstein,Urban regions,No,1.0,310,18918,1.0,1.0
2021,Schleswig-Holstein,Rural regions,No,1.0,466,18918,1.0,1.0
2021,Hamburg,Urban regions,No,1.0,434,18918,1.0,1.0
