year,bula_h,sex,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence,n
1989,Hamburg,weiblich,0.21645112267291888,0.08530109166599761,0.3476011536798401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0
1989,Niedersachsen,maennlich,0.9940365272363114,0.876887551836686,1.111185502635937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,476.0
1989,Niedersachsen,weiblich,0.4522211242638597,0.37606314452071393,0.5283791040070054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,506.0
1989,Bremen,maennlich,0.07799346408891188,0.017839563536468622,0.13814736464135513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0
1989,Bremen,weiblich,0.25826059081492814,0.08804293009537345,0.4284782515344828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0
1989,Nordrhein-Westfalen,maennlich,0.7057771538483295,0.6498533206374126,0.7617009870592464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1273.0
1989,Nordrhein-Westfalen,weiblich,0.43882736153111024,0.3899636469211384,0.4876910761410821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1284.0
1989,Hessen,maennlich,0.7380010550722262,0.6408673824207833,0.8351347277236691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,485.0
1989,Hessen,weiblich,0.42411018271886375,0.34459627619244154,0.5036240892452859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,489.0
1989,"Rheinland-Pfalz,Saarland",maennlich,0.5070295397727473,0.4026335343631097,0.611425545182385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,332.0
1989,"Rheinland-Pfalz,Saarland",weiblich,0.19000365907471645,0.12898887649988733,0.25101844164954557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.0
1989,Baden-Wuerttemberg,maennlich,0.4503128508571253,0.39640085872829345,0.5042248429859572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,896.0
1989,Baden-Wuerttemberg,weiblich,0.323175248012566,0.2742351644387735,0.37211533158635846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,886.0
1989,Bayern,maennlich,0.8581448937776148,0.7661383718644444,0.9501514156907852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,765.0
1989,Bayern,weiblich,0.3627479744088331,0.31324142582102654,0.41225452299663967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,816.0
1989,Berlin,maennlich,0.6789592158176073,0.4973780572583193,0.8605403743768953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.0
1989,Berlin,weiblich,0.45167528219668573,0.32239561569104835,0.5809549487023231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.0
1990,Schleswig-Holstein,maennlich,0.005472182377767894,-0.000582062113352824,0.011526426868888613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0
1990,Schleswig-Holstein,weiblich,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.0
1990,Hamburg,maennlich,0.039167072043266075,0.0032212350739986087,0.07511290901253354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0
1990,Hamburg,weiblich,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0
1990,Niedersachsen,maennlich,0.051285152523050354,0.031236304429545853,0.07133400061655486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,478.0
1990,Niedersachsen,weiblich,0.039455833785660366,0.01764849762048279,0.06126316995083794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,484.0
1990,Bremen,maennlich,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0
1990,Bremen,weiblich,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0
1990,Nordrhein-Westfalen,maennlich,0.03386581452076875,0.022119712910201234,0.045611916131336264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1236.0
1990,Nordrhein-Westfalen,weiblich,0.040370685551262595,0.027076038873279258,0.05366533222924593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1274.0
1990,Hessen,-1,,,,,,,,,,,,
