year,migback,quintil_oecd,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1991,Direct migration background,2nd Quintile,605,2.249424986963827,2.1582244062786797,2.3406255676489742,0.0,2.0,3.0,0.0,7.5,2.0,2.0,3.0
1991,Direct migration background,3rd Quintile,502,2.0027417512972416,1.9148825528323539,2.0906009497621296,0.0,1.0,3.0,0.0,7.5,1.0,0.0,1.0
1991,Direct migration background,4th Quintile,403,1.7236621832144041,1.6426927746843585,1.8046315917444498,0.0,1.0,2.0,0.0,5.0,1.0,0.0,1.0
1991,Direct migration background,5th Quintile,233,1.6892920526372301,1.5732570849761636,1.8053270202982967,0.0,1.0,2.4990229702598863,0.0,6.247557425649715,1.0,1.0,1.0
1991,Indirect migration background,1st Quintile,96,1.3774976965753505,1.2327508771611262,1.5222445159895748,0.0,1.0,2.0,0.0,5.0,1.0,0.0,1.0
1991,Indirect migration background,2nd Quintile,90,1.2113996864264538,1.0583837071081073,1.3644156657448003,0.0,1.0,1.4860360299126392,0.0,3.715090074781598,1.0,1.0,2.0
1991,Indirect migration background,3rd Quintile,76,1.9583389845545565,1.719913989485095,2.196763979624018,1.0,2.0,2.0,0.0,3.5,2.0,2.0,3.0
1991,Indirect migration background,4th Quintile,53,1.1027528429689641,0.9214504120869973,1.284055273850931,0.0,1.0,1.1880029255879314,0.0,2.9700073139698286,1.0,1.0,2.0
1991,Indirect migration background,5th Quintile,,,,,,,,,,,,
1992,No migration background,1st Quintile,2176,2.265164167353416,2.2242662975824103,2.3060620371244216,1.0,2.0,3.0,0.0,6.0,2.0,2.0,2.0
1992,No migration background,2nd Quintile,2162,2.0192184769909893,1.9786386164380978,2.0597983375438806,0.0,1.0,3.0,0.0,7.5,1.0,0.0,1.0
1992,No migration background,3rd Quintile,1952,1.9472843413279106,1.9038002343053853,1.990768448350436,0.0,1.0,3.0,0.0,7.5,1.0,0.0,1.0
1992,No migration background,4th Quintile,1979,1.820579474205242,1.780943348164584,1.8602156002458998,0.0,1.0,3.0,0.0,7.5,1.0,1.0,1.0
1992,No migration background,5th Quintile,2065,1.5972912020996062,1.5610646839923665,1.6335177202068458,0.0,1.0,2.0,0.0,5.0,1.0,1.0,1.0
1992,Direct migration background,1st Quintile,523,2.5057077243534955,2.407122688668077,2.604292760038914,0.0,2.0,4.0,0.0,10.0,2.0,2.0,2.0
1992,Direct migration background,2nd Quintile,588,2.209668808597939,2.1209639410175187,2.2983736761783593,0.0,2.0,4.0,0.0,10.0,2.0,2.0,3.0
1992,Direct migration background,3rd Quintile,604,2.066354699200662,1.985905013304909,2.1468043850964147,0.0,2.0,3.0,0.0,7.5,2.0,2.0,3.0
1992,Direct migration background,4th Quintile,550,1.909383429831556,1.8316019312844085,1.9871649283787034,0.0,1.0,3.0,0.0,7.5,1.0,0.0,1.0
1992,Direct migration background,5th Quintile,276,1.7275088975527402,1.6251209783087126,1.8298968167967677,0.0,1.0,2.0,0.0,5.0,1.0,0.0,1.0
1992,Indirect migration background,1st Quintile,76,1.3827047881853956,1.167410473402926,1.597999102967865,0.0,1.0,2.0,0.0,5.0,1.0,0.0,2.0
1992,Indirect migration background,2nd Quintile,96,1.1343320356081232,1.0058040120773217,1.2628600591389247,0.0,1.0,1.0,0.0,2.5,1.0,1.0,1.0
1992,Indirect migration background,3rd Quintile,102,1.4106790710547341,1.214160149600995,1.6071979925084732,0.0,1.0,1.926518880751272,0.0,4.8162972018781804,1.0,1.0,2.0
1992,Indirect migration background,4th Quintile,96,1.446314419478532,1.3009924473721708,1.5916363915848932,0.0,1.0,2.0,0.0,5.0,1.0,0.0,1.0
1992,Indirect migration background,5th Quintile,34,1.7664860405799836,1.5364389943997363,1.996533086760231,0.8214989099508566,2.0,3.0,0.0,6.267751635073715,2.0,1.0,3.0
1993,No migration background,1st Quintile,1895,2.2641407173353767,2.2194198704046366,2.3088615642661168,1.0,2.0,4.0,0.0,8.5,2.0,2.0,2.0
1993,No migration background,2nd Quintile,2112,2.1093585346975914,2.0660496956426284,2.1526673737525543,0.0,2.0,3.0,0.0,7.5,2.0,2.0,3.0
1993,No migration background,3rd Quintile,2041,1.9189710364175996,1.878290914296786,1.959651158538413,0.0,1.0,3.0,0.0,7.5,1.0,1.0,1.0
1993,No migration background,4th Quintile,2061,1.7535134414700944,1.7142561662437608,1.792770716696428,0.0,1.0,3.0,0.0,7.5,1.0,1.0,1.0
1993,No migration background,5th Quintile,2031,1.4940816353762914,1.458240052428341,1.5299232183242417,0.0,1.0,2.0,0.0,5.0,1.0,1.0,1.0
1993,Direct migration background,1st Quintile,601,2.2965426145295886,2.205062536921055,2.3880226921381222,0.0,2.0,4.0,0.0,10.0,2.0,2.0,3.0
1993,Direct migration background,2nd Quintile,593,2.0932334962079424,2.0081964061995925,2.1782705862162923,0.0,2.0,3.7540175934850377,0.0,9.385043983712594,2.0,2.0,3.0
1993,Direct migration background,3rd Quintile,512,1.9598120307850349,1.8707735860954728,2.048850475474597,0.0,1.0,3.0,0.0,7.5,1.0,0.0,1.0
1993,Direct migration background,4th Quintile,462,1.71893777260887,1.6373616613820994,1.8005138838356405,0.0,1.0,2.0,0.0,5.0,1.0,0.0,1.0
1993,Direct migration background,5th Quintile,301,1.8291733432668804,1.711231659169629,1.9471150273641318,0.0,1.0,2.0,0.0,5.0,1.0,1.0,1.0
1993,Indirect migration background,1st Quintile,121,1.091988646329435,0.9422027331921492,1.2417745594667209,0.0,0.0,1.0,0.0,2.5,0.0,-1.0,0.0
1993,Indirect migration background,2nd Quintile,112,1.6614521477491215,1.4596518254687494,1.8632524700294937,0.0,1.0,2.0,0.0,5.0,1.0,1.0,1.0
1993,Indirect migration background,3rd Quintile,109,1.1892734133769562,1.0315208561756781,1.3470259705782344,0.0,0.6351894234202348,1.9677504617463635,0.0,4.919376154365908,1.0,1.0,2.0
1993,Indirect migration background,4th Quintile,85,1.154479527747969,0.982228120711581,1.3267309347843568,0.0,1.0,1.0,0.0,2.5,1.0,1.0,2.0
1993,Indirect migration background,5th Quintile,39,1.3155100026465198,1.0914908314138243,1.5395291738792154,0.0,1.0,2.0,0.0,5.0,1.0,0.0,2.0
1994,No migration background,1st Quintile,1718,2.2958764564115453,2.250925058143255,2.3408278546798353,1.0,2.0,3.0,0.0,6.0,2.0,2.0,2.0
1994,No migration background,2nd Quintile,2037,2.1182884141370217,2.076218644525296,2.1603581837487473,0.9292775545274629,2.0,3.0,0.0,6.1060836682088055,2.0,2.0,2.0
1994,No migration background,3rd Quintile,2106,1.942164718657459,1.9012738527241888,1.9830555845907294,0.0,1.0,3.0,0.0,7.5,1.0,0.0,1.0
1994,No migration background,4th Quintile,2059,1.767385071197651,1.7305753396916472,1.804194802703655,0.6508881786766247,1.0,3.0,0.0,6.5236677319850624,1.0,1.0,1.0
1994,No migration background,5th Quintile,2084,1.5851770984990041,1.5503911174461666,1.6199630795518416,0.0,1.0,2.0,0.0,5.0,1.0,1.0,1.0
1994,Direct migration background,1st Quintile,665,2.3818618265131377,2.2930690417540953,2.47065461127218,0.0,2.0,4.0,0.0,10.0,2.0,2.0,3.0
1994,Direct migration background,2nd Quintile,548,2.136875271156895,2.050292741091045,2.223457801222745,0.0,2.0,4.0,0.0,10.0,2.0,2.0,3.0
