year,migback,sex,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
2011,No migration background,male,7053,12.30028,12.03909,12.56147,2.83300,9.07018,19.83300,0.0,45.33300,9.083,8.50000,9.58300
2011,No migration background,female,7175,10.21878,9.98734,10.45021,2.08300,7.08300,16.00000,0.0,36.87550,7.083,6.41700,7.58510
2011,Direct migration background,male,981,9.03367,8.50630,9.56103,2.41700,6.16482,14.32217,0.0,32.17992,6.167,4.75000,7.42325
2011,Direct migration background,female,864,8.03706,7.48130,8.59283,1.58300,5.33300,11.50000,0.0,26.37550,5.333,4.08300,6.16700
2011,Indirect migration background,male,406,5.38378,4.79137,5.97619,0.91700,2.66700,8.58300,0.0,20.08200,2.667,1.91700,3.83717
2011,Indirect migration background,female,379,5.92471,5.28222,6.56719,0.98795,3.62474,8.75000,0.0,20.39308,3.667,2.41490,4.83300
2012,No migration background,male,6816,12.37843,12.11294,12.64393,2.75000,9.16700,20.08300,0.0,46.08250,9.167,8.66700,9.75000
2012,No migration background,female,7125,10.41063,10.17495,10.64632,2.08300,6.91700,16.41700,0.0,37.91800,6.917,6.33300,7.50000
2012,Direct migration background,male,980,8.58279,8.09113,9.07446,2.00000,5.75000,13.33300,0.0,30.33250,5.75,4.99583,7.00000
2012,Direct migration background,female,904,8.01545,7.46679,8.56410,1.50000,4.89855,11.58300,0.0,26.70750,4.917,3.91700,6.08300
2012,Indirect migration background,male,418,6.00972,5.35075,6.66869,1.08300,2.75000,10.00000,0.0,23.37550,2.75,2.50000,4.41700
2012,Indirect migration background,female,370,5.77984,5.08543,6.47426,0.75000,3.25000,8.86935,0.0,21.04839,3.25,2.00000,4.50000
2013,No migration background,male,6522,12.57289,12.29531,12.85046,2.66700,9.33300,20.58300,0.0,47.45700,9.333,8.58300,10.00000
2013,No migration background,female,6934,10.51573,10.27339,10.75808,2.08300,6.83300,16.50000,0.0,38.12550,6.833,6.41490,7.41700
2013,Direct migration background,male,2117,7.91613,7.58530,8.24697,1.91700,5.00000,12.41700,0.0,28.16700,5.0,4.66700,5.75000
2013,Direct migration background,female,2032,7.07250,6.74018,7.40482,1.58300,4.16700,10.58300,0.0,24.08300,4.167,3.58300,4.83300
2013,Indirect migration background,male,714,5.48976,5.00841,5.97110,0.91700,2.90626,7.12637,0.0,16.44043,2.917,2.50000,3.41908
2013,Indirect migration background,female,611,5.70649,5.17419,6.23880,1.00000,2.91700,8.25000,0.0,19.12500,2.917,2.25000,3.66700
2014,No migration background,male,5941,12.68932,12.39077,12.98788,2.58300,8.91700,20.83300,0.0,48.20800,8.917,8.16700,9.66700
2014,No migration background,female,6282,10.65164,10.39291,10.91038,2.08300,6.91700,16.83300,0.0,38.95800,6.917,6.41700,7.41907
2014,Direct migration background,male,1717,8.16371,7.77831,8.54911,1.83300,5.05481,13.25000,0.0,30.37550,5.0,4.08300,5.83510
2014,Direct migration background,female,1629,7.16287,6.77609,7.54965,1.33300,4.16700,10.83300,0.0,25.08300,4.167,3.58300,5.00000
2014,Indirect migration background,male,567,5.70053,5.13588,6.26517,0.91700,2.85851,7.69435,0.0,17.86038,2.917,2.16490,3.66700
2014,Indirect migration background,female,557,5.62863,5.06536,6.19190,1.08300,2.75000,7.54605,0.0,17.24062,2.75,2.41700,3.25418
2015,No migration background,male,5592,12.45369,12.14851,12.75886,2.58300,8.66700,20.08300,0.0,46.33300,8.667,7.83300,9.25000
2015,No migration background,female,5981,10.78650,10.51803,11.05496,2.08300,6.83300,16.91700,0.0,39.16800,6.833,6.25000,7.58300
2015,Direct migration background,male,2014,8.07116,7.70215,8.44017,1.75000,4.58300,12.58181,0.0,28.82953,4.583,4.16700,5.08718
2015,Direct migration background,female,1833,6.51361,6.17035,6.85686,1.33300,3.75000,9.16700,0.0,20.91800,3.75,3.16490,4.50000
2015,Indirect migration background,male,539,5.86878,5.27681,6.46075,1.50000,3.08300,7.73154,0.0,17.07886,3.083,2.33300,4.00000
2015,Indirect migration background,female,506,5.58985,4.97841,6.20130,0.83300,2.83300,7.79300,0.0,18.23300,2.833,1.91700,3.66700
2016,No migration background,male,5163,12.35654,12.03699,12.67610,2.50000,8.41700,20.10881,0.0,46.52202,8.417,7.66700,9.16700
2016,No migration background,female,5628,10.89813,10.61803,11.17822,2.08300,6.91700,17.50000,0.0,40.62550,6.917,6.50000,7.50208
2016,Direct migration background,male,1922,7.67463,7.30993,8.03933,1.41700,4.50000,12.00000,0.0,27.87450,4.5,3.91700,5.16700
