"plb0219","year","age_gr","sampreg","n","percent","lower_confidence_percent","upper_confidence_percent"
"Nein, nie","2011","17-34","Westdeutschland","2026","0.649408523483807","0.632644125367096","0.666172921600518"
"Nein, nie","2011","17-34","Ostdeutschland","551","0.575978873409174","0.544453581350758","0.60750416546759"
"Nein, nie","2011","35-65","Westdeutschland","5801","0.60133422474747","0.591573386099918","0.611095063395022"
"Nein, nie","2011","35-65","Ostdeutschland","1408","0.559143234759903","0.539704506446918","0.578581963072887"
"Nein, nie","2011","66 +","Westdeutschland","112","0.566898480840836","0.497529141966077","0.636267819715594"
"Nein, nie","2011","66 +","Ostdeutschland","11","","",""
"Ja, jede Woche","2011","17-34","Westdeutschland","194","0.0603149643060483","0.051950618300381","0.0686793103117156"
"Ja, jede Woche","2011","17-34","Ostdeutschland","59","0.0750683601573373","0.0582592247258053","0.0918774955888692"
"Ja, jede Woche","2011","35-65","Westdeutschland","725","0.0734028201806743","0.0682037395154045","0.0786019008459442"
"Ja, jede Woche","2011","35-65","Ostdeutschland","185","0.0677520665067611","0.0579123056074817","0.0775918274060406"
"Ja, jede Woche","2011","66 +","Westdeutschland","22","","",""
"Ja, jede Woche","2011","66 +","Ostdeutschland","","","",""
"Ja, alle 2 Wochen","2011","17-34","Westdeutschland","304","0.0942185518400289","0.0839547509152122","0.104482352764846"
"Ja, alle 2 Wochen","2011","17-34","Ostdeutschland","124","0.13037557694902","0.108895982383802","0.151855171514239"
"Ja, alle 2 Wochen","2011","35-65","Westdeutschland","888","0.0911317709436478","0.0853944378878056","0.09686910399949"
"Ja, alle 2 Wochen","2011","35-65","Ostdeutschland","273","0.110811861604886","0.0985219852526667","0.123101737957104"
"Ja, alle 2 Wochen","2011","66 +","Westdeutschland","17","","",""
"Ja, alle 2 Wochen","2011","66 +","Ostdeutschland","","","",""
"Ja, alle 3-4 Wochen","2011","17-34","Westdeutschland","157","0.0464707869742097","0.0390749843573747","0.0538665895910447"
"Ja, alle 3-4 Wochen","2011","17-34","Ostdeutschland","63","0.0568849993948299","0.04210946153544","0.0716605372542198"
"Ja, alle 3-4 Wochen","2011","35-65","Westdeutschland","549","0.0544968873586444","0.0499716431005309","0.0590221316167579"
"Ja, alle 3-4 Wochen","2011","35-65","Ostdeutschland","184","0.0629654470847467","0.0534553159326849","0.0724755782368085"
"Ja, alle 3-4 Wochen","2011","66 +","Westdeutschland","5","","",""
"Ja, alle 3-4 Wochen","2011","66 +","Ostdeutschland","2","","",""
"Seltener","2011","17-34","Westdeutschland","431","0.149587173395906","0.137056039348048","0.162118307443764"
"Seltener","2011","17-34","Ostdeutschland","147","0.161692190089638","0.138206227123917","0.185178153055359"
"Seltener","2011","35-65","Westdeutschland","1703","0.179634296769563","0.171981449033624","0.187287144505503"
"Seltener","2011","35-65","Ostdeutschland","456","0.199327390043704","0.183686245342576","0.214968534744832"
"Seltener","2011","66 +","Westdeutschland","40","0.182565877860198","0.128483442301007","0.236648313419389"
"Seltener","2011","66 +","Ostdeutschland","6","","",""
"Nein, nie","2012","17-34","Westdeutschland","614","0.665055378924524","0.634995411155646","0.695115346693402"
"Nein, nie","2012","17-34","Ostdeutschland","177","0.6432176076806","0.586182257226216","0.700252958134985"
"Nein, nie","2012","35-65","Westdeutschland","1991","0.624110852967064","0.607530095104989","0.64069161082914"
"Nein, nie","2012","35-65","Ostdeutschland","385","0.58203428304435","0.544146236843203","0.619922329245497"
"Nein, nie","2012","66 +","Westdeutschland","2","","",""
"Nein, nie","2012","66 +","Ostdeutschland","","","",""
"Ja, jede Woche","2012","17-34","Westdeutschland","66","0.0681935515581076","0.0521386512944528","0.0842484518217625"
"Ja, jede Woche","2012","17-34","Ostdeutschland","14","","",""
"Ja, jede Woche","2012","35-65","Westdeutschland","264","0.0742910211560385","0.0653136533564297","0.0832683889556472"
"Ja, jede Woche","2012","35-65","Ostdeutschland","49","0.0750566858198445","0.054816716612104","0.0952966550275851"
"Ja, jede Woche","2012","66 +","Westdeutschland","","","",""
"Ja, jede Woche","2012","66 +","Ostdeutschland","","","",""
"Ja, alle 2 Wochen","2012","17-34","Westdeutschland","98","0.105306132821265","0.0857565648674963","0.124855700775034"
"Ja, alle 2 Wochen","2012","17-34","Ostdeutschland","24","","",""
"Ja, alle 2 Wochen","2012","35-65","Westdeutschland","327","0.0941113991567874","0.0841159542702621","0.104106844043313"
"Ja, alle 2 Wochen","2012","35-65","Ostdeutschland","76","0.116173193860145","0.0915585165856821","0.140787871134608"
"Ja, alle 2 Wochen","2012","66 +","Westdeutschland","","","",""
"Ja, alle 2 Wochen","2012","66 +","Ostdeutschland","","","",""
"Ja, alle 3-4 Wochen","2012","17-34","Westdeutschland","50","0.0514038495728609","0.0373397606884566","0.0654679384572652"
"Ja, alle 3-4 Wochen","2012","17-34","Ostdeutschland","19","","",""
"Ja, alle 3-4 Wochen","2012","35-65","Westdeutschland","189","0.0575233687590717","0.0495525842581256","0.0654941532600177"
"Ja, alle 3-4 Wochen","2012","35-65","Ostdeutschland","42","0.0618365735982385","0.0433345362020792","0.0803386109943977"
"Ja, alle 3-4 Wochen","2012","66 +","Westdeutschland","1","","",""
"Ja, alle 3-4 Wochen","2012","66 +","Ostdeutschland","","","",""
"Seltener","2012","17-34","Westdeutschland","119","0.110041087123242","0.0901097921717801","0.129972382074704"
"Seltener","2012","17-34","Ostdeutschland","37","0.140396254924014","0.0990353190849406","0.181757190763088"
"Seltener","2012","35-65","Westdeutschland","507","0.149963357961038","0.137740999458486","0.16218571646359"
"Seltener","2012","35-65","Ostdeutschland","99","0.164899263677422","0.136393256625485","0.193405270729359"
"Seltener","2012","66 +","Westdeutschland","","","",""
"Seltener","2012","66 +","Ostdeutschland","","","",""
"Nein, nie","2013","17-34","Westdeutschland","1828","0.644291201909723","0.626543358472428","0.662039045347017"
"Nein, nie","2013","17-34","Ostdeutschland","471","0.562172627287992","0.527400519496717","0.596944735079267"
"Nein, nie","2013","35-65","Westdeutschland","5452","0.590612460124799","0.580454153379919","0.600770766869678"
"Nein, nie","2013","35-65","Ostdeutschland","1376","0.546214084416121","0.526419248433138","0.566008920399105"
"Nein, nie","2013","66 +","Westdeutschland","154","0.661539276977024","0.60204476447308","0.721033789480968"
"Nein, nie","2013","66 +","Ostdeutschland","20","","",""
"Ja, jede Woche","2013","17-34","Westdeutschland","173","0.0509786899386837","0.0428243370422497","0.0591330428351177"
"Ja, jede Woche","2013","17-34","Ostdeutschland","42","0.0524940973121815","0.0368629479641373","0.0681252466602256"
"Ja, jede Woche","2013","35-65","Westdeutschland","602","0.0639524875256351","0.05889796219034","0.0690070128609303"
"Ja, jede Woche","2013","35-65","Ostdeutschland","166","0.0620165337614297","0.0524270265459863","0.0716060409768732"
"Ja, jede Woche","2013","66 +","Westdeutschland","17","","",""
"Ja, jede Woche","2013","66 +","Ostdeutschland","2","","",""
"Ja, alle 2 Wochen","2013","17-34","Westdeutschland","286","0.0932494849037689","0.0824693471342355","0.104029622673302"
"Ja, alle 2 Wochen","2013","17-34","Ostdeutschland","106","0.15484781725839","0.129492752905114","0.180202881611667"
"Ja, alle 2 Wochen","2013","35-65","Westdeutschland","827","0.0929027031299302","0.0869055681770438","0.0988998380828165"
"Ja, alle 2 Wochen","2013","35-65","Ostdeutschland","264","0.108539662207807","0.0961719263906862","0.120907398024929"
"Ja, alle 2 Wochen","2013","66 +","Westdeutschland","11","","",""
"Ja, alle 2 Wochen","2013","66 +","Ostdeutschland","1","","",""
"Ja, alle 3-4 Wochen","2013","17-34","Westdeutschland","146","0.0486189446266331","0.0406456612748761","0.0565922279783901"
"Ja, alle 3-4 Wochen","2013","17-34","Ostdeutschland","55","0.0736813804438936","0.0553707293080687","0.0919920315797185"
"Ja, alle 3-4 Wochen","2013","35-65","Westdeutschland","455","0.0557413499481986","0.0510018018246447","0.0604808980717525"
"Ja, alle 3-4 Wochen","2013","35-65","Ostdeutschland","136","0.0578932613818733","0.0486076817820172","0.0671788409817294"
"Ja, alle 3-4 Wochen","2013","66 +","Westdeutschland","6","","",""
"Ja, alle 3-4 Wochen","2013","66 +","Ostdeutschland","2","","",""
"Seltener","2013","17-34","Westdeutschland","362","0.162861678621192","0.149172882672402","0.176550474569981"
"Seltener","2013","17-34","Ostdeutschland","108","0.156804077697543","0.131318901561852","0.182289253833233"
"Seltener","2013","35-65","Westdeutschland","1665","0.196790999271437","0.18857766290923","0.205004335633645"
"Seltener","2013","35-65","Ostdeutschland","488","0.225336458232768","0.208724637156217","0.241948279309319"
"Seltener","2013","66 +","Westdeutschland","55","0.186385226919437","0.137423118593882","0.235347335244991"
"Seltener","2013","66 +","Ostdeutschland","6","","",""
"Nein, nie","2014","17-34","Westdeutschland","","","",""
"Nein, nie","2014","17-34","Ostdeutschland","","","",""
"Nein, nie","2014","35-65","Westdeutschland","","","",""
"Nein, nie","2014","35-65","Ostdeutschland","","","",""
"Nein, nie","2014","66 +","Westdeutschland","","","",""
"Nein, nie","2014","66 +","Ostdeutschland","","","",""
"Ja, jede Woche","2014","17-34","Westdeutschland","","","",""
"Ja, jede Woche","2014","17-34","Ostdeutschland","","","",""
"Ja, jede Woche","2014","35-65","Westdeutschland","","","",""
"Ja, jede Woche","2014","35-65","Ostdeutschland","","","",""
"Ja, jede Woche","2014","66 +","Westdeutschland","","","",""
"Ja, jede Woche","2014","66 +","Ostdeutschland","","","",""
"Ja, alle 2 Wochen","2014","17-34","Westdeutschland","","","",""
"Ja, alle 2 Wochen","2014","17-34","Ostdeutschland","","","",""
"Ja, alle 2 Wochen","2014","35-65","Westdeutschland","","","",""
"Ja, alle 2 Wochen","2014","35-65","Ostdeutschland","","","",""
"Ja, alle 2 Wochen","2014","66 +","Westdeutschland","","","",""
"Ja, alle 2 Wochen","2014","66 +","Ostdeutschland","","","",""
"Ja, alle 3-4 Wochen","2014","17-34","Westdeutschland","","","",""
"Ja, alle 3-4 Wochen","2014","17-34","Ostdeutschland","","","",""
"Ja, alle 3-4 Wochen","2014","35-65","Westdeutschland","","","",""
"Ja, alle 3-4 Wochen","2014","35-65","Ostdeutschland","","","",""
"Ja, alle 3-4 Wochen","2014","66 +","Westdeutschland","","","",""
"Ja, alle 3-4 Wochen","2014","66 +","Ostdeutschland","","","",""
"Seltener","2014","17-34","Westdeutschland","","","",""
"Seltener","2014","17-34","Ostdeutschland","","","",""
"Seltener","2014","35-65","Westdeutschland","","","",""
"Seltener","2014","35-65","Ostdeutschland","","","",""
"Seltener","2014","66 +","Westdeutschland","","","",""
"Seltener","2014","66 +","Ostdeutschland","","","",""
"Nein, nie","2015","17-34","Westdeutschland","1912","0.610811320335982","0.593264591845293","0.628358048826671"
"Nein, nie","2015","17-34","Ostdeutschland","395","0.597078317873378","0.55965846352338","0.634498172223375"
"Nein, nie","2015","35-65","Westdeutschland","5400","0.589841204082225","0.57964194355508","0.60004046460937"
"Nein, nie","2015","35-65","Ostdeutschland","1281","0.573458085906639","0.552763274331101","0.594152897482177"
"Nein, nie","2015","66 +","Westdeutschland","170","0.678523189906362","0.622917322687529","0.734129057125194"
"Nein, nie","2015","66 +","Ostdeutschland","28","","",""
"Ja, jede Woche","2015","17-34","Westdeutschland","198","0.0681510092493415","0.059081758008339","0.077220260490344"
"Ja, jede Woche","2015","17-34","Ostdeutschland","41","0.0383365479403691","0.0236880133596987","0.0529850825210396"
"Ja, jede Woche","2015","35-65","Westdeutschland","604","0.0634101835106589","0.0583568339908267","0.068463533030491"
