"hlf0001_h","year","regtyp","sampreg","n","percent","lower_confidence_percent","upper_confidence_percent"
"Eigentuemer","1997","Laendlicher Raum","Ostdeutschland","1476","","",""
"Altersheim/Seniorenwohnheim","1997","Staedtischer Raum","Westdeutschland","","","",""
"Altersheim/Seniorenwohnheim","1997","Staedtischer Raum","Ostdeutschland","","","",""
"Altersheim/Seniorenwohnheim","1997","Laendlicher Raum","Westdeutschland","","","",""
"Altersheim/Seniorenwohnheim","1997","Laendlicher Raum","Ostdeutschland","","","",""
"Mieter","1997","Staedtischer Raum","Westdeutschland","","","",""
"Mieter","1997","Staedtischer Raum","Ostdeutschland","","","",""
"Mieter","1997","Laendlicher Raum","Westdeutschland","","","",""
"Mieter","1997","Laendlicher Raum","Ostdeutschland","","","",""
"Hauptmieter","1998","Staedtischer Raum","Westdeutschland","6006","0.520713197153341","0.511181335560593","0.530245058746089"
"Hauptmieter","1998","Staedtischer Raum","Ostdeutschland","1186","","",""
"Hauptmieter","1998","Laendlicher Raum","Westdeutschland","1191","","",""
"Hauptmieter","1998","Laendlicher Raum","Ostdeutschland","1600","","",""
"Untermieter","1998","Staedtischer Raum","Westdeutschland","295","","",""
"Untermieter","1998","Staedtischer Raum","Ostdeutschland","37","0.0192065050984976","0.0124496217847652","0.0259633884122301"
"Untermieter","1998","Laendlicher Raum","Westdeutschland","91","0.0296681416120029","0.0238527424219032","0.0354835408021025"
"Untermieter","1998","Laendlicher Raum","Ostdeutschland","123","","",""
"Eigentuemer","1998","Staedtischer Raum","Westdeutschland","4251","0.449062488288372","0.439572072047464","0.45855290452928"
"Eigentuemer","1998","Staedtischer Raum","Ostdeutschland","362","0.203455305139523","0.183636701970111","0.223273908308935"
"Eigentuemer","1998","Laendlicher Raum","Westdeutschland","1988","","",""
"Eigentuemer","1998","Laendlicher Raum","Ostdeutschland","1626","","",""
"Altersheim/Seniorenwohnheim","1998","Staedtischer Raum","Westdeutschland","","","",""
"Altersheim/Seniorenwohnheim","1998","Staedtischer Raum","Ostdeutschland","","","",""
"Altersheim/Seniorenwohnheim","1998","Laendlicher Raum","Westdeutschland","","","",""
"Altersheim/Seniorenwohnheim","1998","Laendlicher Raum","Ostdeutschland","","","",""
"Mieter","1998","Staedtischer Raum","Westdeutschland","","","",""
"Mieter","1998","Staedtischer Raum","Ostdeutschland","","","",""
"Mieter","1998","Laendlicher Raum","Westdeutschland","","","",""
"Mieter","1998","Laendlicher Raum","Ostdeutschland","","","",""
"Hauptmieter","1999","Staedtischer Raum","Westdeutschland","5626","0.518612172515573","0.508855178851773","0.528369166179373"
"Hauptmieter","1999","Staedtischer Raum","Ostdeutschland","1140","","",""
"Hauptmieter","1999","Laendlicher Raum","Westdeutschland","1143","","",""
"Hauptmieter","1999","Laendlicher Raum","Ostdeutschland","1540","","",""
"Untermieter","1999","Staedtischer Raum","Westdeutschland","233","","",""
"Untermieter","1999","Staedtischer Raum","Ostdeutschland","21","","",""
"Untermieter","1999","Laendlicher Raum","Westdeutschland","80","0.0335436068169337","0.0272489521145702","0.0398382615192972"
"Untermieter","1999","Laendlicher Raum","Ostdeutschland","101","","",""
"Eigentuemer","1999","Staedtischer Raum","Westdeutschland","4215","0.458213695999709","0.448484092060749","0.467943299938668"
"Eigentuemer","1999","Staedtischer Raum","Ostdeutschland","382","0.209815230614604","0.189498774210017","0.230131687019191"
"Eigentuemer","1999","Laendlicher Raum","Westdeutschland","1920","","",""
"Eigentuemer","1999","Laendlicher Raum","Ostdeutschland","1587","","",""
"Altersheim/Seniorenwohnheim","1999","Staedtischer Raum","Westdeutschland","","","",""
"Altersheim/Seniorenwohnheim","1999","Staedtischer Raum","Ostdeutschland","","","",""
"Altersheim/Seniorenwohnheim","1999","Laendlicher Raum","Westdeutschland","","","",""
"Altersheim/Seniorenwohnheim","1999","Laendlicher Raum","Ostdeutschland","","","",""
"Mieter","1999","Staedtischer Raum","Westdeutschland","","","",""
"Mieter","1999","Staedtischer Raum","Ostdeutschland","","","",""
"Mieter","1999","Laendlicher Raum","Westdeutschland","","","",""
"Mieter","1999","Laendlicher Raum","Ostdeutschland","","","",""
"Hauptmieter","2000","Staedtischer Raum","Westdeutschland","9352","0.525026081226338","0.5177948761753","0.532257286277376"
"Hauptmieter","2000","Staedtischer Raum","Ostdeutschland","1709","","",""
"Hauptmieter","2000","Laendlicher Raum","Westdeutschland","2144","","",""
"Hauptmieter","2000","Laendlicher Raum","Ostdeutschland","2265","","",""
"Untermieter","2000","Staedtischer Raum","Westdeutschland","246","","",""
"Untermieter","2000","Staedtischer Raum","Ostdeutschland","25","","",""
"Untermieter","2000","Laendlicher Raum","Westdeutschland","68","0.0151998206160581","0.0121370734650365","0.0182625677670797"
"Untermieter","2000","Laendlicher Raum","Ostdeutschland","88","0.0184351045676249","0.0147135721635487","0.0221566369717011"
"Eigentuemer","2000","Staedtischer Raum","Westdeutschland","8722","0.457303982408871","0.4500901480601","0.464517816757642"
"Eigentuemer","2000","Staedtischer Raum","Ostdeutschland","604","0.208729844918689","0.192256548788412","0.225203141048965"
"Eigentuemer","2000","Laendlicher Raum","Westdeutschland","3918","0.619999467071098","0.607848646305929","0.632150287836267"
"Eigentuemer","2000","Laendlicher Raum","Ostdeutschland","2666","","",""
"Altersheim/Seniorenwohnheim","2000","Staedtischer Raum","Westdeutschland","","","",""
"Altersheim/Seniorenwohnheim","2000","Staedtischer Raum","Ostdeutschland","","","",""
"Altersheim/Seniorenwohnheim","2000","Laendlicher Raum","Westdeutschland","","","",""
"Altersheim/Seniorenwohnheim","2000","Laendlicher Raum","Ostdeutschland","","","",""
"Mieter","2000","Staedtischer Raum","Westdeutschland","","","",""
"Mieter","2000","Staedtischer Raum","Ostdeutschland","","","",""
"Mieter","2000","Laendlicher Raum","Westdeutschland","","","",""
"Mieter","2000","Laendlicher Raum","Ostdeutschland","","","",""
"Hauptmieter","2001","Staedtischer Raum","Westdeutschland","8492","0.524737389663977","0.51713552990894","0.532339249419015"
"Hauptmieter","2001","Staedtischer Raum","Ostdeutschland","1547","","",""
"Hauptmieter","2001","Laendlicher Raum","Westdeutschland","1805","","",""
"Hauptmieter","2001","Laendlicher Raum","Ostdeutschland","2010","","",""
"Untermieter","2001","Staedtischer Raum","Westdeutschland","216","","",""
"Untermieter","2001","Staedtischer Raum","Ostdeutschland","20","","",""
"Untermieter","2001","Laendlicher Raum","Westdeutschland","60","0.0126990794080343","0.00971589508925257","0.0156822637268159"
"Untermieter","2001","Laendlicher Raum","Ostdeutschland","90","0.0191660242762074","0.0151882600218283","0.0231437885305865"
