year,train,pgisced97,quintil_oecd,proportion,n,lower_confidence,upper_confidence
2014,No,middle vocational,5th Quintile,0.10905366995485705,38694,0.10594782213772891,0.11215951777198518
2014,No,middle vocational,2nd Quintile,0.08614780137100819,38694,0.0833520770971062,0.08894352564491019
2014,No,higher education,4th Quintile,0.05438053837150978,38694,0.05212102867199021,0.05664004807102935
2014,No,middle vocational,1st Quintile,0.048068884801872595,38694,0.04593746477407818,0.05020030482966701
2014,No,general elementary,2nd Quintile,0.029844507607423507,38694,0.02814904920064571,0.0315399660142013
2014,No,higher education,3rd Quintile,0.028465139608761077,38694,0.02680814875574295,0.030122130461779202
2014,No,higher vocational,5th Quintile,0.025915398762748704,38694,0.024332287113967118,0.02749851041153029
2014,No,general elementary,3rd Quintile,0.025748202641698713,38694,0.024170070646868946,0.02732633463652848
2014,No,general elementary,1st Quintile,0.025288413308811236,38694,0.02372406624094433,0.026852760376678143
2014,No,vocational + Abi,5th Quintile,0.02298946664437385,38694,0.021496162300029868,0.02448277098871783
2014,No,vocational + Abi,4th Quintile,0.021066711252298947,38694,0.01963581160197955,0.022497610902618346
2014,No,higher vocational,4th Quintile,0.019687343253636514,38694,0.018303107318986118,0.02107157918828691
2014,No,general elementary,4th Quintile,0.01860056846681157,38694,0.01725433535765446,0.01994680157596868
2014,No,vocational + Abi,3rd Quintile,0.0160090285905367,38694,0.014758446212894832,0.01725961096817857
2014,No,higher education,2nd Quintile,0.014755057682661762,38694,0.01355368757805284,0.015956427787270685
2014,No,higher vocational,3rd Quintile,0.012121718776124394,38694,0.01103136337679157,0.013212074175457217
2014,No,vocational + Abi,2nd Quintile,0.012121718776124394,38694,0.01103136337679157,0.013212074175457217
2014,No,higher education,1st Quintile,0.009446580839324528,38694,0.008482728443764982,0.010410433234884074
2014,No,general elementary,5th Quintile,0.008359806052499582,38694,0.007452592729532105,0.009267019375467058
2014,No,inadequately,1st Quintile,0.007900016719612105,38694,0.007017900141550451,0.00878213329767376
