year,quintil_oecd,sampreg,doctoryn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2003,2nd Quintile,East,Yes,0.73689,940,1303,0.71298,0.76081
2003,2nd Quintile,East,No,0.26311,363,1303,0.23919,0.28702
2003,3rd Quintile,West,Yes,0.67352,1878,2852,0.65631,0.69073
2003,3rd Quintile,West,No,0.32648,974,2852,0.30927,0.34369
2003,3rd Quintile,East,Yes,0.76536,897,1195,0.74132,0.78939
2003,3rd Quintile,East,No,0.23464,298,1195,0.21061,0.25868
2003,4th Quintile,West,Yes,0.70239,2403,3458,0.68714,0.71763
2003,4th Quintile,West,No,0.29761,1055,3458,0.28237,0.31286
2003,4th Quintile,East,Yes,0.71169,710,989,0.68344,0.73993
2003,4th Quintile,East,No,0.28831,279,989,0.26007,0.31656
2003,5th Quintile,West,Yes,0.69600,3840,5515,0.68386,0.70814
2003,5th Quintile,West,No,0.30400,1675,5515,0.29186,0.31614
2003,5th Quintile,East,Yes,0.70610,566,809,0.67469,0.73752
2003,5th Quintile,East,No,0.29390,243,809,0.26248,0.32531
2004,1st Quintile,West,Yes,0.67589,1494,2242,0.65651,0.69527
2004,1st Quintile,West,No,0.32411,748,2242,0.30473,0.34349
2004,1st Quintile,East,Yes,0.69155,691,1008,0.66303,0.72008
2004,1st Quintile,East,No,0.30845,317,1008,0.27992,0.33697
2004,2nd Quintile,West,Yes,0.68373,1689,2522,0.66558,0.70188
2004,2nd Quintile,West,No,0.31627,833,2522,0.29812,0.33442
2004,2nd Quintile,East,Yes,0.73214,898,1248,0.70756,0.75672
2004,2nd Quintile,East,No,0.26786,350,1248,0.24328,0.29244
2004,3rd Quintile,West,Yes,0.67465,1841,2830,0.65739,0.69192
2004,3rd Quintile,West,No,0.32535,989,2830,0.30808,0.34261
2004,3rd Quintile,East,Yes,0.75339,868,1171,0.72870,0.77809
2004,3rd Quintile,East,No,0.24661,303,1171,0.22191,0.27130
2004,4th Quintile,West,Yes,0.67425,2228,3341,0.65835,0.69014
2004,4th Quintile,West,No,0.32575,1113,3341,0.30986,0.34165
2004,4th Quintile,East,Yes,0.73846,725,993,0.71111,0.76581
2004,4th Quintile,East,No,0.26154,268,993,0.23419,0.28889
2004,5th Quintile,West,Yes,0.68056,3626,5386,0.66811,0.69302
2004,5th Quintile,West,No,0.31944,1760,5386,0.30698,0.33189
2004,5th Quintile,East,Yes,0.68265,525,788,0.65013,0.71516
