year,bula_h,sex,doctoryn,proportion,n,proportion_lower_confidence,proportion_upper_confidence
2016,Saxony,male,Yes,0.657856093979442,41132,0.6532711290995711,0.6624410588593129
2016,Saxony,male,No,0.342143906020558,41132,0.3375589411406871,0.3467288709004289
2016,Saxony,female,Yes,0.7572559366754618,41132,0.7531124894671898,0.7613993838837337
2016,Saxony,female,No,0.24274406332453827,41132,0.23860061611626626,0.24688751053281027
2016,Saxony-Anhalt,male,Yes,0.6473829201101928,41132,0.6427655100086913,0.6520003302116943
2016,Saxony-Anhalt,male,No,0.3526170798898072,41132,0.34799966978830565,0.3572344899913087
2016,Saxony-Anhalt,female,Yes,0.7274678111587983,41132,0.7231647060869156,0.731770916230681
2016,Saxony-Anhalt,female,No,0.27253218884120173,41132,0.268229083769319,0.2768352939130845
2016,Thuringa,male,Yes,0.6550868486352357,41132,0.6504930656461911,0.6596806316242803
2016,Thuringa,male,No,0.34491315136476425,41132,0.34031936837571963,0.34950693435380886
2016,Thuringa,female,Yes,0.7689161554192229,41132,0.764842442288707,0.7729898685497387
2016,Thuringa,female,No,0.2310838445807771,41132,0.2270101314502613,0.2351575577112929
2017,Schleswig-Holstein,male,Yes,0.6681818181818182,45410,0.6638509223603567,0.6725127140032797
2017,Schleswig-Holstein,male,No,0.33181818181818185,45410,0.3274872859967203,0.3361490776396434
2017,Schleswig-Holstein,female,Yes,0.7445544554455445,45410,0.7405432240122258,0.7485656868788633
2017,Schleswig-Holstein,female,No,0.25544554455445545,45410,0.25143431312113673,0.25945677598777417
2017,Hamburg,male,Yes,0.6504854368932039,45410,0.6460998093326645,0.6548710644537433
2017,Hamburg,male,No,0.34951456310679613,45410,0.3451289355462568,0.35390019066733547
2017,Hamburg,female,Yes,0.788235294117647,45410,0.7844774821206465,0.7919931061146476
2017,Hamburg,female,No,0.21176470588235294,45410,0.20800689388535237,0.2155225178793535
2017,Lower Saxony,male,Yes,0.700398406374502,45410,0.6961850814294873,0.7046117313195167
2017,Lower Saxony,male,No,0.299601593625498,45410,0.29538826868048323,0.30381491857051274
2017,Lower Saxony,female,Yes,0.759493670886076,45410,0.7555626472529663,0.7634246945191857
2017,Lower Saxony,female,No,0.24050632911392406,45410,0.23657530548081432,0.2444373527470338
2017,Bremen,male,Yes,0.6428571428571429,45410,0.6384499856584623,0.6472643000558235
2017,Bremen,male,No,0.35714285714285715,45410,0.35273569994417653,0.3615500143415378
2017,Bremen,female,Yes,0.7478991596638656,45410,0.7439053350454592,0.7518929842822719
2017,Bremen,female,No,0.25210084033613445,45410,0.2481070157177281,0.2560946649545408
2017,North Rhine-Westphalia,male,Yes,0.6845878136200717,45410,0.6803138173695534,0.68886180987059
2017,North Rhine-Westphalia,male,No,0.3154121863799283,45410,0.31113819012941,0.31968618263044657
2017,North Rhine-Westphalia,female,Yes,0.7472972972972973,45410,0.7433003173484388,0.7512942772461558
2017,North Rhine-Westphalia,female,No,0.2527027027027027,45410,0.2487057227538442,0.2566996826515611
2017,Hesse,male,Yes,0.6823671497584541,45410,0.678085096330374,0.6866492031865343
2017,Hesse,male,No,0.3176328502415459,45410,0.3133507968134657,0.3219149036696261
2017,Hesse,female,Yes,0.7723404255319148,45410,0.7684836206888179,0.7761972303750118
2017,Hesse,female,No,0.2276595744680851,45410,0.22380276962498813,0.23151637931118207
2017,"Rhineland-Palatinate, Saarland",male,Yes,0.6766381766381766,45410,0.6723358543371913,0.6809404989391619
2017,"Rhineland-Palatinate, Saarland",male,No,0.32336182336182334,45410,0.3190595010608381,0.3276641456628086
2017,"Rhineland-Palatinate, Saarland",female,Yes,0.7444444444444445,45410,0.7404326457719492,0.7484562431169397
2017,"Rhineland-Palatinate, Saarland",female,No,0.25555555555555554,45410,0.25154375688306035,0.2595673542280507
2017,Baden-Wuerttemberg,male,Yes,0.6584122359796067,45410,0.6540502886240472,0.6627741833351662
2017,Baden-Wuerttemberg,male,No,0.3415877640203933,45410,0.33722581666483387,0.34594971137595276
2017,Baden-Wuerttemberg,female,Yes,0.7342786683107275,45410,0.730215881944854,0.7383414546766011
2017,Baden-Wuerttemberg,female,No,0.2657213316892725,45410,0.26165854532339894,0.269784118055146
2017,Bavaria,male,Yes,0.6578125,45410,0.6534487139284948,0.6621762860715052
2017,Bavaria,male,No,0.3421875,45410,0.33782371392849475,0.3465512860715052
2017,Bavaria,female,Yes,0.7370996441281139,45410,0.7330507258784964,0.7411485623777314
2017,Bavaria,female,No,0.2629003558718861,45410,0.2588514376222686,0.2669492741215036
2017,Berlin,male,Yes,0.6908315565031983,45410,0.686580821963644,0.6950822910427525
2017,Berlin,male,No,0.3091684434968017,45410,0.3049177089572475,0.31341917803635594
2017,Berlin,female,Yes,0.7650485436893204,45410,0.7611489991288017,0.7689480882498391
2017,Berlin,female,No,0.23495145631067962,45410,0.231051911750161,0.23885100087119826
2017,Brandenburg,male,Yes,0.6968421052631579,45410,0.6926146214467163,0.7010695890795996
2017,Brandenburg,male,No,0.3031578947368421,45410,0.2989304109204004,0.30738537855328385
2017,Brandenburg,female,Yes,0.810126582278481,45410,0.8065192275918714,0.8137339369650906
2017,Brandenburg,female,No,0.189873417721519,45410,0.18626606303490942,0.19348077240812858
2017,Mecklenburg-Western Pomerania,male,Yes,0.7248062015503876,45410,0.7206983892400505,0.7289140138607246
2017,Mecklenburg-Western Pomerania,male,No,0.2751937984496124,45410,0.2710859861392753,0.27930161075994947
