year,bula_h,regtyp,chronill,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
2021,"Rhineland-Palatinate, Saarland",Rural regions,Yes,0.73791,157,19117,0.73704,0.73879
2021,"Rhineland-Palatinate, Saarland",Rural regions,No,0.26209,71,19117,0.26121,0.26296
2021,Baden-Wuerttemberg,Urban regions,Yes,0.66484,1162,19117,0.66451,0.66516
2021,Baden-Wuerttemberg,Urban regions,No,0.33516,768,19117,0.33484,0.33549
2021,Baden-Wuerttemberg,Rural regions,Yes,0.64603,147,19117,0.64519,0.64687
2021,Baden-Wuerttemberg,Rural regions,No,0.35397,90,19117,0.35313,0.35481
2021,Bavaria,Urban regions,Yes,0.67443,881,19117,0.67403,0.67484
2021,Bavaria,Urban regions,No,0.32557,482,19117,0.32516,0.32597
2021,Bavaria,Rural regions,Yes,0.65757,968,19117,0.65716,0.65798
2021,Bavaria,Rural regions,No,0.34243,521,19117,0.34202,0.34284
2021,Berlin,Urban regions,Yes,0.62993,546,19117,0.62937,0.63048
2021,Berlin,Urban regions,No,0.37007,360,19117,0.36952,0.37063
2021,Brandenburg,Urban regions,Yes,1.00000,47,19117,1.00000,1.00000
2021,Brandenburg,Rural regions,Yes,0.70865,457,19117,0.70801,0.70930
2021,Brandenburg,Rural regions,No,0.29135,175,19117,0.29070,0.29199
2021,Mecklenburg-Western Pomerania,Urban regions,Yes,1.00000,51,19117,1.00000,1.00000
2021,Mecklenburg-Western Pomerania,Rural regions,Yes,0.78144,247,19117,0.78071,0.78218
2021,Mecklenburg-Western Pomerania,Rural regions,No,0.21856,85,19117,0.21782,0.21929
2021,Saxony,Urban regions,Yes,0.68082,397,19117,0.68012,0.68152
2021,Saxony,Urban regions,No,0.31918,231,19117,0.31848,0.31988
2021,Saxony,Rural regions,Yes,0.62924,353,19117,0.62854,0.62993
2021,Saxony,Rural regions,No,0.37076,179,19117,0.37007,0.37146
2021,Saxony-Anhalt,Urban regions,Yes,0.67476,75,19117,0.67309,0.67643
2021,Saxony-Anhalt,Urban regions,No,0.32524,71,19117,0.32357,0.32691
2021,Saxony-Anhalt,Rural regions,Yes,0.74543,322,19117,0.74472,0.74613
2021,Saxony-Anhalt,Rural regions,No,0.25457,131,19117,0.25387,0.25528
2021,Thuringa,Urban regions,Yes,0.48427,147,19117,0.48310,0.48545
2021,Thuringa,Urban regions,No,0.51573,86,19117,0.51455,0.51690
2021,Thuringa,Rural regions,Yes,0.68579,266,19117,0.68492,0.68665
2021,Thuringa,Rural regions,No,0.31421,134,19117,0.31335,0.31508
