year,quintil_oecd_hh,sampreg,hgeqpter,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2004,1st Quintile,East,No,0.52840,307,590,0.48809,0.56872
2004,2nd Quintile,West,Yes,0.73865,1069,1422,0.71581,0.76150
2004,2nd Quintile,West,No,0.26135,353,1422,0.23850,0.28419
2004,2nd Quintile,East,Yes,0.55049,384,698,0.51356,0.58742
2004,2nd Quintile,East,No,0.44951,314,698,0.41258,0.48644
2004,3rd Quintile,West,Yes,0.80701,1266,1545,0.78733,0.82670
2004,3rd Quintile,West,No,0.19299,279,1545,0.17330,0.21267
2004,3rd Quintile,East,Yes,0.60659,360,593,0.56724,0.64594
2004,3rd Quintile,East,No,0.39341,233,593,0.35406,0.43276
2004,4th Quintile,West,Yes,0.83789,1502,1746,0.82059,0.85518
2004,4th Quintile,West,No,0.16211,244,1746,0.14482,0.17941
2004,4th Quintile,East,Yes,0.58257,298,477,0.53827,0.62687
2004,4th Quintile,East,No,0.41743,179,477,0.37313,0.46173
2004,5th Quintile,West,Yes,0.91110,2390,2577,0.90011,0.92209
2004,5th Quintile,West,No,0.08890,187,2577,0.07791,0.09989
2004,5th Quintile,East,Yes,0.75889,257,324,0.71224,0.80554
2004,5th Quintile,East,No,0.24111,67,324,0.19446,0.28776
2005,1st Quintile,West,Yes,0.65527,859,1328,0.62969,0.68084
2005,1st Quintile,West,No,0.34473,469,1328,0.31916,0.37031
2005,1st Quintile,East,Yes,0.48462,305,633,0.44565,0.52358
2005,1st Quintile,East,No,0.51538,328,633,0.47642,0.55435
2005,2nd Quintile,West,Yes,0.77152,1071,1385,0.74940,0.79364
2005,2nd Quintile,West,No,0.22848,314,1385,0.20636,0.25060
2005,2nd Quintile,East,Yes,0.55336,378,679,0.51594,0.59078
2005,2nd Quintile,East,No,0.44664,301,679,0.40922,0.48406
2005,3rd Quintile,West,Yes,0.81236,1248,1515,0.79270,0.83203
2005,3rd Quintile,West,No,0.18764,267,1515,0.16797,0.20730
2005,3rd Quintile,East,Yes,0.62040,366,581,0.58090,0.65989
2005,3rd Quintile,East,No,0.37960,215,581,0.34011,0.41910
2005,4th Quintile,West,Yes,0.84772,1510,1744,0.83085,0.86458
2005,4th Quintile,West,No,0.15228,234,1744,0.13542,0.16915
2005,4th Quintile,East,Yes,0.63503,310,465,0.59123,0.67884
2005,4th Quintile,East,No,0.36497,155,465,0.32116,0.40877
2005,5th Quintile,West,Yes,0.90640,2343,2519,0.89503,0.91778
2005,5th Quintile,West,No,0.09360,176,2519,0.08222,0.10497
2005,5th Quintile,East,Yes,0.78569,256,324,0.74094,0.83044
2005,5th Quintile,East,No,0.21431,68,324,0.16956,0.25906
2006,1st Quintile,West,Yes,0.63767,914,1429,0.61274,0.66260
2006,1st Quintile,West,No,0.36233,515,1429,0.33740,0.38726
2006,1st Quintile,East,Yes,0.51263,330,661,0.47449,0.55076
2006,1st Quintile,East,No,0.48737,331,661,0.44924,0.52551
2006,2nd Quintile,West,Yes,0.77113,1176,1488,0.74978,0.79248
2006,2nd Quintile,West,No,0.22887,312,1488,0.20752,0.25022
2006,2nd Quintile,East,Yes,0.55120,409,731,0.51512,0.58728
2006,2nd Quintile,East,No,0.44880,322,731,0.41272,0.48488
2006,3rd Quintile,West,Yes,0.81998,1420,1709,0.80176,0.83820
2006,3rd Quintile,West,No,0.18002,289,1709,0.16180,0.19824
2006,3rd Quintile,East,Yes,0.63105,425,672,0.59454,0.66756
2006,3rd Quintile,East,No,0.36895,247,672,0.33244,0.40546
2006,4th Quintile,West,Yes,0.85126,1731,1984,0.83559,0.86692
2006,4th Quintile,West,No,0.14874,253,1984,0.13308,0.16441
2006,4th Quintile,East,Yes,0.65370,341,509,0.61233,0.69508
2006,4th Quintile,East,No,0.34630,168,509,0.30492,0.38767
2006,5th Quintile,West,Yes,0.90533,2520,2710,0.89431,0.91636
2006,5th Quintile,West,No,0.09467,190,2710,0.08364,0.10569
2006,5th Quintile,East,Yes,0.79932,289,350,0.75730,0.84134
2006,5th Quintile,East,No,0.20068,61,350,0.15866,0.24270
2007,1st Quintile,West,Yes,0.66446,896,1342,0.63918,0.68973
2007,1st Quintile,West,No,0.33554,446,1342,0.31027,0.36082
2007,1st Quintile,East,Yes,0.54911,325,610,0.50959,0.58863
2007,1st Quintile,East,No,0.45089,285,610,0.41137,0.49041
2007,2nd Quintile,West,Yes,0.79819,1167,1465,0.77764,0.81875
2007,2nd Quintile,West,No,0.20181,298,1465,0.18125,0.22236
2007,2nd Quintile,East,Yes,0.54334,362,639,0.50469,0.58199
