year,age_gr,sex,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
2008,30-45 y.,male,1796,38.85453,38.55246,39.17114,38.00000,40.00000,40.00000,35.00000,43.00000,40.0,40.00000,40.00000
2008,30-45 y.,female,1718,29.22883,28.63838,29.90556,20.00000,30.00000,39.00000,1.3,56.0,30.0,27.48750,30.00000
2008,46-65 y.,male,1790,38.50071,38.22337,38.82618,38.00000,40.00000,40.00000,35.00000,43.00000,40.0,40.00000,40.51250
2008,46-65 y.,female,1788,29.45311,28.88910,30.17629,20.00000,32.00000,39.00000,1.5,60.0,32.0,29.00000,34.00000
2008,66 and older,male,,,,,,,,,,,,
2008,66 and older,female,,,,,,,,,,,,
2009,0-16 y.,male,,,,,,,,,,,,
2009,0-16 y.,female,,,,,,,,,,,,
2009,17-29 y.,male,717,37.79276,37.10143,38.49407,38.00000,40.00000,40.00000,35.00000,43.00000,40.0,40.00000,40.00000
2009,17-29 y.,female,706,33.36346,32.09643,34.30531,30.00000,38.50000,40.00000,15.00000,55.00000,38.5,38.00000,38.51250
2009,30-45 y.,male,1617,38.78177,38.48691,39.06787,38.00000,40.00000,40.00000,35.00000,43.00000,40.0,40.00000,40.00000
2009,30-45 y.,female,1583,29.56982,28.76278,30.35906,20.00000,33.00000,39.00000,1.5,56.0,33.0,31.00000,36.00000
2009,46-65 y.,male,1720,38.52824,38.17815,38.96301,38.00000,40.00000,40.00000,35.00000,43.00000,40.0,40.00000,40.00000
2009,46-65 y.,female,1752,29.59341,28.93313,30.28057,20.00000,32.50000,39.00000,2.0,60.9,32.5,30.00000,35.00000
2009,66 and older,male,,,,,,,,,,,,
2009,66 and older,female,,,,,,,,,,,,
2010,0-16 y.,male,,,,,,,,,,,,
2010,0-16 y.,female,,,,,,,,,,,,
2010,17-29 y.,male,932,36.99048,36.19410,37.81947,37.50000,40.00000,40.00000,33.75000,43.75000,40.0,40.00000,40.00000
2010,17-29 y.,female,848,33.74186,32.78692,34.80019,32.00000,38.50000,40.00000,20.00000,48.0,38.5,38.00000,39.00000
2010,30-45 y.,male,2899,38.63183,38.35943,38.90140,38.00000,40.00000,40.00000,35.00000,43.00000,40.0,40.00000,40.00000
2010,30-45 y.,female,2698,29.37515,28.73679,30.17218,20.00000,32.00000,40.00000,1.0,55.0,32.0,29.00000,34.00000
2010,46-65 y.,male,1969,38.35888,37.91329,38.80523,38.00000,40.00000,40.00000,35.00000,43.00000,40.0,40.00000,40.50000
2010,46-65 y.,female,1994,28.72470,27.99821,29.46491,20.00000,30.00000,39.00000,1.5,65.0,30.0,27.50000,30.00000
2010,66 and older,male,35,16.96553,10.18952,23.46706,6.89460,12.00000,22.87872,2.0,46.85488,12.0,6.00000,17.00000
