"year","alter_gr","sampreg","mean","median","n","lower_confidence","upper_confidence"
"2017","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","6.96","7","4825","6.9","7.02"
"2017","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","6.31","7","3266","6.23","6.39"
"2017","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","6.87","7","12087","6.83","6.91"
"2017","66 und älter","Ostdeutschland, neue Bundeslaender","6.76","7","1235","6.66","6.86"
"2017","66 und älter","Westdeutschland, alte Bundeslaender","7.11","8","3755","7.04","7.18"
"2018","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","6.2","7","1053","6.06","6.34"
"2018","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","6.9","7","4714","6.84","6.96"
"2018","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","6.34","7","3162","6.26","6.42"
"2018","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","6.89","7","11470","6.85","6.93"
"2018","66 und älter","Ostdeutschland, neue Bundeslaender","6.56","7","1250","6.45","6.67"
"2018","66 und älter","Westdeutschland, alte Bundeslaender","7.16","8","3774","7.09","7.23"
"2019","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","6.66","7","930","6.52","6.8"
"2019","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","7.13","8","4279","7.07","7.19"
"2019","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","6.6","7","3294","6.52","6.68"
"2019","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","7.07","8","11796","7.03","7.11"
"2019","66 und älter","Ostdeutschland, neue Bundeslaender","6.61","7","1305","6.5","6.72"
"2019","66 und älter","Westdeutschland, alte Bundeslaender","7.33","8","3891","7.27","7.39"
