year,pgisced97,pli0082,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
2019,Pre-primary Level,Seldom,0.6607948566450514,179,27874,0.6595501652215836,0.6620395480685193
2019,Primary Level,At least once per week,0.036287061121506155,159,27874,0.03597517959154578,0.03659894265146653
2019,Primary Level,At least once per month,0.15386140119452227,427,27874,0.15325963815733892,0.1544631642317056
2019,Primary Level,Seldom,0.4921252154777511,578,27874,0.491291426696241,0.49295900425926126
2019,Primary Level,Never,0.3177263222062205,336,27874,0.3169498144125461,0.3185028299998949
2019,Lower Secondary Level,At least once per week,0.037541795880957796,187,27874,0.03740134672043599,0.0376822450414796
2019,Lower Secondary Level,At least once per month,0.2076323327030357,696,27874,0.2073326362860674,0.20793202912000397
2019,Lower Secondary Level,Seldom,0.5045026622529297,1489,27874,0.5041332399765095,0.50487208452935
2019,Lower Secondary Level,Never,0.2503232091630768,638,27874,0.25000312935490226,0.2506432889712514
2019,Upper Secondary Level,Daily,0.0015185932133120073,48,27874,0.0015050383885904528,0.0015321480380335619
2019,Upper Secondary Level,At least once per week,0.04371514041284364,629,27874,0.043643967823468396,0.043786313002218885
2019,Upper Secondary Level,At least once per month,0.28257873960896607,3524,27874,0.28242200675172613,0.282735472466206
2019,Upper Secondary Level,Seldom,0.5432839768059816,6111,27874,0.543110580532306,0.5434573730796572
2019,Upper Secondary Level,Never,0.12890354995889672,1316,27874,0.1287869042549067,0.12902019566288675
2019,Post-secondary Non-tertiary Level,At least once per week,0.04843738312417954,123,27874,0.04825849121874107,0.04861627502961802
2019,Post-secondary Non-tertiary Level,At least once per month,0.328252223394369,805,27874,0.3278609425157766,0.3286435042729614
2019,Post-secondary Non-tertiary Level,Seldom,0.5454286257152522,1164,27874,0.5450137178446185,0.5458435335858859
2019,Post-secondary Non-tertiary Level,Never,0.07788176776619919,160,27874,0.07765846563255172,0.07810506989984667
2019,First Stage of Tertiary Education,At least once per week,0.0359513899430933,77,27874,0.03577659891360416,0.03612618097258244
2019,First Stage of Tertiary Education,At least once per month,0.3430566775852293,646,27874,0.3426109610755447,0.3435023940949139
2019,First Stage of Tertiary Education,Seldom,0.5544285680918605,853,27874,0.553961915910654,0.5548952202730669
2019,First Stage of Tertiary Education,Never,0.066563364379817,87,27874,0.06632933419017194,0.06679739456946206
2019,Second Stage of Tertiary Education,At least once per week,0.06423149876432772,590,27874,0.06411221092915766,0.06435078659949779
2019,Second Stage of Tertiary Education,At least once per month,0.45020524159092046,3478,27874,0.4499631701869419,0.45044731299489904
2019,Second Stage of Tertiary Education,Seldom,0.4418217631682324,3160,27874,0.44158013480059694,0.4420633915358679
2019,Second Stage of Tertiary Education,Never,0.04374149647651944,301,27874,0.043641985178422195,0.043841007774616685
