year,bula_h,sampreg,pli0082,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2018,Hesse,West,Never,0.28883,84,348,0.24114,0.33652
2018,"Rhineland-Palatinate, Saarland",West,At least once per week,0.12007,31,200,0.07491,0.16524
2018,"Rhineland-Palatinate, Saarland",West,At least once per month,0.21998,45,200,0.16243,0.27754
2018,"Rhineland-Palatinate, Saarland",West,Seldom,0.37770,76,200,0.31034,0.44506
2018,"Rhineland-Palatinate, Saarland",West,Never,0.25927,48,200,0.19838,0.32016
2018,Baden-Wuerttemberg,West,At least once per week,0.20528,95,333,0.16183,0.24873
2018,Baden-Wuerttemberg,West,At least once per month,0.31274,94,333,0.26287,0.36261
2018,Baden-Wuerttemberg,West,Seldom,0.34467,104,333,0.29355,0.39579
2018,Baden-Wuerttemberg,West,Never,0.11291,40,333,0.07886,0.14695
2018,Bavaria,West,At least once per week,0.16001,55,307,0.11894,0.20109
2018,Bavaria,West,At least once per month,0.23912,68,307,0.19133,0.28692
2018,Bavaria,West,Seldom,0.30212,116,307,0.25067,0.35357
