"beruf","year","bula_h","regtyp","n","percent","lower_confidence","upper_confidence"
"Arbeitslose","1985","Niedersachsen","Laendlicher Raum","39","0.0566256612316965","0.0380701196925307","0.0751812027708623"
"Arbeitslose","1985","Bremen","Staedtischer Raum","","","",""
"Arbeitslose","1985","Bremen","Laendlicher Raum","","","",""
"Arbeitslose","1985","Nordrhein-Westfalen","Staedtischer Raum","138","0.0422356133146292","0.0348926755479926","0.0495785510812658"
"Arbeitslose","1985","Nordrhein-Westfalen","Laendlicher Raum","","","",""
"Arbeitslose","1985","Hessen","Staedtischer Raum","39","0.0322708850216694","0.0211727257217447","0.043369044321594"
"Arbeitslose","1985","Hessen","Laendlicher Raum","","","",""
"Arbeitslose","1985","Rheinland-Pfalz,Saarland","Staedtischer Raum","","","",""
"Arbeitslose","1985","Rheinland-Pfalz,Saarland","Laendlicher Raum","","","",""
"Arbeitslose","1985","Baden-Württemberg","Staedtischer Raum","54","0.0190942339684213","0.0126693666835818","0.0255191012532609"
"Arbeitslose","1985","Baden-Württemberg","Laendlicher Raum","","","",""
"Arbeitslose","1985","Bayern","Staedtischer Raum","30","0.0267609118133878","0.0166205863126938","0.0369012373140818"
"Arbeitslose","1985","Bayern","Laendlicher Raum","39","0.0445220202119303","0.0311871710384246","0.057856869385436"
"Arbeitslose","1985","Saarland","Staedtischer Raum","","","",""
"Arbeitslose","1985","Saarland","Laendlicher Raum","","","",""
"Arbeitslose","1985","Berlin","Staedtischer Raum","","","",""
"Arbeitslose","1985","Berlin","Laendlicher Raum","","","",""
"Arbeitslose","1985","Brandenburg","Staedtischer Raum","","","",""
"Arbeitslose","1985","Brandenburg","Laendlicher Raum","","","",""
"Arbeitslose","1985","Mecklenburg-Vorpommern","Staedtischer Raum","","","",""
"Arbeitslose","1985","Mecklenburg-Vorpommern","Laendlicher Raum","","","",""
"Arbeitslose","1985","Sachsen","Staedtischer Raum","","","",""
"Arbeitslose","1985","Sachsen","Laendlicher Raum","","","",""
"Arbeitslose","1985","Sachsen-Anhalt","Staedtischer Raum","","","",""
"Arbeitslose","1985","Sachsen-Anhalt","Laendlicher Raum","","","",""
"Arbeitslose","1985","Thüringen","Staedtischer Raum","","","",""
"Arbeitslose","1985","Thüringen","Laendlicher Raum","","","",""
"Sonstige Nichterwerbspersonen","1985","Schleswig-Holstein","Staedtischer Raum","","","",""
"Sonstige Nichterwerbspersonen","1985","Schleswig-Holstein","Laendlicher Raum","30","0.141925759728103","0.0916388123599621","0.192212707096245"
"Sonstige Nichterwerbspersonen","1985","Hamburg","Staedtischer Raum","","","",""
"Sonstige Nichterwerbspersonen","1985","Hamburg","Laendlicher Raum","","","",""
"Sonstige Nichterwerbspersonen","1985","Niedersachsen","Staedtischer Raum","85","0.138119564736413","0.108204582269355","0.168034547203471"
"Sonstige Nichterwerbspersonen","1985","Niedersachsen","Laendlicher Raum","86","0.127728405224581","0.100930887240561","0.154525923208601"
"Sonstige Nichterwerbspersonen","1985","Bremen","Staedtischer Raum","","","",""
"Sonstige Nichterwerbspersonen","1985","Bremen","Laendlicher Raum","","","",""
"Sonstige Nichterwerbspersonen","1985","Nordrhein-Westfalen","Staedtischer Raum","527","0.158623345521188","0.145285678091538","0.171961012950838"
"Sonstige Nichterwerbspersonen","1985","Nordrhein-Westfalen","Laendlicher Raum","","","",""
"Sonstige Nichterwerbspersonen","1985","Hessen","Staedtischer Raum","158","0.136616825549286","0.11504819865148","0.158185452447092"
"Sonstige Nichterwerbspersonen","1985","Hessen","Laendlicher Raum","","","",""
"Sonstige Nichterwerbspersonen","1985","Rheinland-Pfalz,Saarland","Staedtischer Raum","118","0.17923627035554","0.149309804050621","0.20916273666046"
"Sonstige Nichterwerbspersonen","1985","Rheinland-Pfalz,Saarland","Laendlicher Raum","","","",""
"Sonstige Nichterwerbspersonen","1985","Baden-Württemberg","Staedtischer Raum","267","0.12753486246527","0.111875001653442","0.143194723277097"
"Sonstige Nichterwerbspersonen","1985","Baden-Württemberg","Laendlicher Raum","45","0.130153537751967","0.0917575033218977","0.168549572182037"
"Sonstige Nichterwerbspersonen","1985","Bayern","Staedtischer Raum","137","0.131743696901646","0.110492638425373","0.15299475537792"
"Sonstige Nichterwerbspersonen","1985","Bayern","Laendlicher Raum","148","0.147399232964275","0.124479433862072","0.170319032066479"
"Sonstige Nichterwerbspersonen","1985","Saarland","Staedtischer Raum","","","",""
"Sonstige Nichterwerbspersonen","1985","Saarland","Laendlicher Raum","","","",""
"Sonstige Nichterwerbspersonen","1985","Berlin","Staedtischer Raum","39","0.0783920417711947","0.0507794930369184","0.106004590505471"
"Sonstige Nichterwerbspersonen","1985","Berlin","Laendlicher Raum","","","",""
"Sonstige Nichterwerbspersonen","1985","Brandenburg","Staedtischer Raum","","","",""
"Sonstige Nichterwerbspersonen","1985","Brandenburg","Laendlicher Raum","","","",""
"Sonstige Nichterwerbspersonen","1985","Mecklenburg-Vorpommern","Staedtischer Raum","","","",""
"Sonstige Nichterwerbspersonen","1985","Mecklenburg-Vorpommern","Laendlicher Raum","","","",""
"Sonstige Nichterwerbspersonen","1985","Sachsen","Staedtischer Raum","","","",""
"Sonstige Nichterwerbspersonen","1985","Sachsen","Laendlicher Raum","","","",""
"Sonstige Nichterwerbspersonen","1985","Sachsen-Anhalt","Staedtischer Raum","","","",""
"Sonstige Nichterwerbspersonen","1985","Sachsen-Anhalt","Laendlicher Raum","","","",""
"Sonstige Nichterwerbspersonen","1985","Thüringen","Staedtischer Raum","","","",""
"Sonstige Nichterwerbspersonen","1985","Thüringen","Laendlicher Raum","","","",""
"Beamte","1985","Schleswig-Holstein","Staedtischer Raum","","","",""
"Beamte","1985","Schleswig-Holstein","Laendlicher Raum","","","",""
"Beamte","1985","Hamburg","Staedtischer Raum","","","",""
"Beamte","1985","Hamburg","Laendlicher Raum","","","",""
"Beamte","1985","Niedersachsen","Staedtischer Raum","","","",""
"Beamte","1985","Niedersachsen","Laendlicher Raum","31","0.0475088592862316","0.0304306341245528","0.0645870844479104"
"Beamte","1985","Bremen","Staedtischer Raum","","","",""
"Beamte","1985","Bremen","Laendlicher Raum","","","",""
"Beamte","1985","Nordrhein-Westfalen","Staedtischer Raum","123","0.048332570919473","0.0405025368071493","0.0561626050317968"
"Beamte","1985","Nordrhein-Westfalen","Laendlicher Raum","","","",""
"Beamte","1985","Hessen","Staedtischer Raum","32","0.0426080463557246","0.0299239565003456","0.0552921362111036"
"Beamte","1985","Hessen","Laendlicher Raum","","","",""
"Beamte","1985","Rheinland-Pfalz,Saarland","Staedtischer Raum","","","",""
"Beamte","1985","Rheinland-Pfalz,Saarland","Laendlicher Raum","","","",""
"Beamte","1985","Baden-Württemberg","Staedtischer Raum","58","0.0412802923801615","0.0319409433267249","0.0506196414335981"
"Beamte","1985","Baden-Württemberg","Laendlicher Raum","","","",""
"Beamte","1985","Bayern","Staedtischer Raum","44","0.0475535684998311","0.0341813486931589","0.0609257883065032"
"Beamte","1985","Bayern","Laendlicher Raum","40","0.044922760956108","0.0315308422891676","0.0583146796230483"
"Beamte","1985","Saarland","Staedtischer Raum","","","",""
"Beamte","1985","Saarland","Laendlicher Raum","","","",""
"Beamte","1985","Berlin","Staedtischer Raum","","","",""
"Beamte","1985","Berlin","Laendlicher Raum","","","",""
"Beamte","1985","Brandenburg","Staedtischer Raum","","","",""
"Beamte","1985","Brandenburg","Laendlicher Raum","","","",""
"Beamte","1985","Mecklenburg-Vorpommern","Staedtischer Raum","","","",""
"Beamte","1985","Mecklenburg-Vorpommern","Laendlicher Raum","","","",""
"Beamte","1985","Sachsen","Staedtischer Raum","","","",""
"Beamte","1985","Sachsen","Laendlicher Raum","","","",""
"Beamte","1985","Sachsen-Anhalt","Staedtischer Raum","","","",""
"Beamte","1985","Sachsen-Anhalt","Laendlicher Raum","","","",""
"Beamte","1985","Thüringen","Staedtischer Raum","","","",""
"Beamte","1985","Thüringen","Laendlicher Raum","","","",""
"Angestellte, einfache Tätigkeiten","1986","Schleswig-Holstein","Staedtischer Raum","37","0.20085891557605","0.137582041473245","0.264135789678856"
"Angestellte, einfache Tätigkeiten","1986","Schleswig-Holstein","Laendlicher Raum","","","",""
"Angestellte, einfache Tätigkeiten","1986","Hamburg","Staedtischer Raum","44","0.0986039689207794","0.0616481265945582","0.135559811247001"
"Angestellte, einfache Tätigkeiten","1986","Hamburg","Laendlicher Raum","","","",""
"Angestellte, einfache Tätigkeiten","1986","Niedersachsen","Staedtischer Raum","98","0.132346753584403","0.103497146638084","0.161196360530723"
"Angestellte, einfache Tätigkeiten","1986","Niedersachsen","Laendlicher Raum","87","0.122868405254087","0.096058866793822","0.149677943714352"
"Angestellte, einfache Tätigkeiten","1986","Bremen","Staedtischer Raum","","","",""
"Angestellte, einfache Tätigkeiten","1986","Bremen","Laendlicher Raum","","","",""
"Angestellte, einfache Tätigkeiten","1986","Nordrhein-Westfalen","Staedtischer Raum","555","0.136291496216177","0.123537576746176","0.149045415686178"
"Angestellte, einfache Tätigkeiten","1986","Nordrhein-Westfalen","Laendlicher Raum","","","",""
"Angestellte, einfache Tätigkeiten","1986","Hessen","Staedtischer Raum","205","0.144463016991866","0.121533128114491","0.167392905869241"
"Angestellte, einfache Tätigkeiten","1986","Hessen","Laendlicher Raum","","","",""
"Angestellte, einfache Tätigkeiten","1986","Rheinland-Pfalz,Saarland","Staedtischer Raum","137","0.168985688943593","0.139559549919182","0.198411827968003"
"Angestellte, einfache Tätigkeiten","1986","Rheinland-Pfalz,Saarland","Laendlicher Raum","","","",""
"Angestellte, einfache Tätigkeiten","1986","Baden-Württemberg","Staedtischer Raum","470","0.185690758564782","0.167123919826839","0.204257597302725"
"Angestellte, einfache Tätigkeiten","1986","Baden-Württemberg","Laendlicher Raum","88","0.207180903547296","0.161319285164495","0.253042521930097"
"Angestellte, einfache Tätigkeiten","1986","Bayern","Staedtischer Raum","180","0.135984014122899","0.11385880175781","0.158109226487988"
"Angestellte, einfache Tätigkeiten","1986","Bayern","Laendlicher Raum","190","0.175614235425314","0.150020165837165","0.201208305013463"
"Angestellte, einfache Tätigkeiten","1986","Saarland","Staedtischer Raum","","","",""
"Angestellte, einfache Tätigkeiten","1986","Saarland","Laendlicher Raum","","","",""
"Angestellte, einfache Tätigkeiten","1986","Berlin","Staedtischer Raum","86","0.196751663601562","0.155221763805647","0.238281563397478"
"Angestellte, einfache Tätigkeiten","1986","Berlin","Laendlicher Raum","","","",""
"Angestellte, einfache Tätigkeiten","1986","Brandenburg","Staedtischer Raum","","","",""
"Angestellte, einfache Tätigkeiten","1986","Brandenburg","Laendlicher Raum","","","",""
"Angestellte, einfache Tätigkeiten","1986","Mecklenburg-Vorpommern","Staedtischer Raum","","","",""
"Angestellte, einfache Tätigkeiten","1986","Mecklenburg-Vorpommern","Laendlicher Raum","","","",""
"Angestellte, einfache Tätigkeiten","1986","Sachsen","Staedtischer Raum","","","",""
"Angestellte, einfache Tätigkeiten","1986","Sachsen","Laendlicher Raum","","","",""
"Angestellte, einfache Tätigkeiten","1986","Sachsen-Anhalt","Staedtischer Raum","","","",""
"Angestellte, einfache Tätigkeiten","1986","Sachsen-Anhalt","Laendlicher Raum","","","",""
"Angestellte, einfache Tätigkeiten","1986","Thüringen","Staedtischer Raum","","","",""
