"beruf","year","regtyp","n","percent","lower_confidence","upper_confidence"
"Sonstige Nichterwerbspersonen","2002","Staedtischer Raum","1467","0.0886081554866201","0.0840922551394274","0.0931240558338128"
"Sonstige Nichterwerbspersonen","2002","Laendlicher Raum","578","0.0758235981364681","0.0699402889325524","0.0817069073403838"
"Angestellte, einfache Tätigkeiten","2003","Staedtischer Raum","2120","0.152013485694314","0.146205566106179","0.15782140528245"
"Angestellte, einfache Tätigkeiten","2003","Laendlicher Raum","1070","0.148115352821235","0.140053099239503","0.156177606402967"
"Angestellte, qualifizierte Tätigkeiten","2003","Staedtischer Raum","4085","0.263387477708745","0.256262193798912","0.270512761618577"
"Angestellte, qualifizierte Tätigkeiten","2003","Laendlicher Raum","2038","0.251250716107682","0.241406347119835","0.261095085095529"
"Arbeitslose","2003","Staedtischer Raum","792","0.0585426835135468","0.05474497442722","0.0623403925998736"
"Arbeitslose","2003","Laendlicher Raum","612","0.0847089520554838","0.0783890509655536","0.091028853145414"
"Beamte","2003","Staedtischer Raum","713","0.0335059539685219","0.0305949308904381","0.0364169770466056"
"Beamte","2003","Laendlicher Raum","285","0.0286167126727913","0.0248325377398515","0.0324008876057311"
"In Ausbildung","2003","Staedtischer Raum","1219","0.0710518141529992","0.066895882523073","0.0752077457829253"
"In Ausbildung","2003","Laendlicher Raum","678","0.0734611606355389","0.0675397289012478","0.07938259236983"
"In Rente oder Pension","2003","Staedtischer Raum","3275","0.27481910916705","0.267597537879278","0.282040680454822"
"In Rente oder Pension","2003","Laendlicher Raum","1788","0.286750853410847","0.276486324805112","0.297015382016582"
"Selbstständige/ManagerInnen","2003","Staedtischer Raum","1106","0.0601696049724572","0.0563228157858365","0.064016394159078"
"Selbstständige/ManagerInnen","2003","Laendlicher Raum","488","0.0581470855853146","0.0528355323504585","0.0634586388201707"
"Sonstige Nichterwerbspersonen","2003","Staedtischer Raum","1370","0.0865098708223662","0.0819624010132741","0.0910573406314583"
"Sonstige Nichterwerbspersonen","2003","Laendlicher Raum","498","0.0689491667111073","0.063198512859259","0.0746998205629557"
"Angestellte, einfache Tätigkeiten","2004","Staedtischer Raum","2056","0.151745932884818","0.145865398913497","0.157626466856139"
"Angestellte, einfache Tätigkeiten","2004","Laendlicher Raum","1100","0.156727248954394","0.148379684206974","0.165074813701813"
"Angestellte, qualifizierte Tätigkeiten","2004","Staedtischer Raum","3893","0.258512534892246","0.251336443387824","0.265688626396667"
"Angestellte, qualifizierte Tätigkeiten","2004","Laendlicher Raum","1909","0.231207064659194","0.221526320351066","0.240887808967322"
"Arbeitslose","2004","Staedtischer Raum","796","0.0611016730873651","0.0571758466831821","0.0650274994915482"
"Arbeitslose","2004","Laendlicher Raum","594","0.0888317938363193","0.0822991797610413","0.0953644079115972"
"Beamte","2004","Staedtischer Raum","683","0.0322550724513358","0.0293592313982209","0.0351509135044506"
"Beamte","2004","Laendlicher Raum","268","0.0281610187567112","0.0243624075428979","0.0319596299705245"
"In Ausbildung","2004","Staedtischer Raum","1278","0.07808944543359","0.0736916419315161","0.082487248935664"
"In Ausbildung","2004","Laendlicher Raum","663","0.0747476058035703","0.068709061463001","0.0807861501441396"
"In Rente oder Pension","2004","Staedtischer Raum","3210","0.273834153010572","0.266525169634096","0.281143136387048"
"In Rente oder Pension","2004","Laendlicher Raum","1785","0.293229081900326","0.282775951614581","0.303682212186072"
