year,quintil_oecd,sex,plb0195_h,proportion,n,proportion_lower_confidence,proportion_upper_confidence
1998,4th Quintile,male,Paid,0.16472545757071547,18147,0.15932850457525863,0.1701224105661723
1998,4th Quintile,female,Comp. time,0.578088578088578,18147,0.5709030037391619,0.5852741524379942
1998,4th Quintile,female,Some of both,0.17482517482517482,18147,0.1692989490738327,0.18035140057651694
1998,4th Quintile,female,Not compensated,0.1655011655011655,18147,0.16009403256178473,0.17090829844054628
1998,4th Quintile,female,Paid,0.08158508158508158,18147,0.07760237334466615,0.08556778982549702
1998,5th Quintile,male,Not compensated,0.39543726235741444,18147,0.388323274246223,0.4025512504686059
1998,5th Quintile,male,Comp. time,0.3193916349809886,18147,0.31260797515266814,0.32617529480930907
1998,5th Quintile,male,Some of both,0.19011406844106463,18147,0.18440490196279324,0.195823234919336
1998,5th Quintile,male,Paid,0.09505703422053231,18147,0.09078970267573436,0.09932436576533027
1998,5th Quintile,female,Comp. time,0.47619047619047616,18147,0.4689238854754635,0.48345706690548884
1998,5th Quintile,female,Not compensated,0.2904761904761905,18147,0.2838708925826211,0.2970814883697599
1998,5th Quintile,female,Some of both,0.19523809523809524,18147,0.1894708338180972,0.20100535665809327
1998,5th Quintile,female,Paid,0.0380952380952381,18147,0.03531004676116874,0.04088042942930746
1999,1st Quintile,male,Comp. time,0.3466666666666667,17396,0.3395944619677745,0.35373887136555887
1999,1st Quintile,male,Paid,0.28,17396,0.27332768354676207,0.286672316453238
1999,1st Quintile,male,Some of both,0.24333333333333335,17396,0.2369568023272737,0.249709864339393
1999,1st Quintile,male,Not compensated,0.13,17396,0.12500238640531736,0.13499761359468265
1999,1st Quintile,female,Comp. time,0.47368421052631576,17396,0.4662642938955932,0.4811041271570383
1999,1st Quintile,female,Paid,0.24210526315789474,17396,0.23573968385779498,0.2484708424579945
1999,1st Quintile,female,Some of both,0.15263157894736842,17396,0.14728729274468957,0.15797586515004727
1999,1st Quintile,female,Not compensated,0.13157894736842105,17396,0.12655564006282213,0.13660225467401996
1999,2nd Quintile,male,Comp. time,0.3659730722154223,17396,0.3588147739640736,0.37313137046677103
1999,2nd Quintile,male,Some of both,0.2594859241126071,17396,0.25297181643527644,0.2660000317899378
1999,2nd Quintile,male,Paid,0.25458996328029376,17396,0.24811630711367158,0.261063619446916
