"m11126","year","bildungsniveau","n","percent","lower_confidence","upper_confidence","NA"
"Weniger gut","2015","(Fach-)Abitur","410","0.0959370589324469","0.0869930315118057","0.104881086353088",""
"Weniger gut","2015","AkademikerIn","664","0.11270915149567","0.10496813854813","0.12045016444321",""
"Schlecht","2015","(noch) kein Abschluss","44","0.0605257316061563","0.0478663459124972","0.0731851172998155",""
"Schlecht","2015","Hauptschule","432","0.0656885626860491","0.0602124511701059","0.0711646742019922",""
"Schlecht","2015","Realschule","179","0.0345914468641054","0.0301953282491311","0.0389875654790797",""
"Schlecht","2015","(Fach-)Abitur","82","0.023535453093096","0.018931508273371","0.0281393979128209",""
"Schlecht","2015","AkademikerIn","123","0.023452197450502","0.019747747537937","0.0271566473630671",""
"Sehr gut","2016","(noch) kein Abschluss","680","0.232706289745057","0.215292765667927","0.250119813822187",""
"Sehr gut","2016","Hauptschule","727","0.0514491518210821","0.0465033152553489","0.0563949883868152",""
"Sehr gut","2016","Realschule","511","0.0752153088388831","0.0686060571872079","0.0818245604905583",""
"Sehr gut","2016","(Fach-)Abitur","771","0.143741322133286","0.133156460722732","0.154326183543841",""
"Sehr gut","2016","AkademikerIn","956","0.119754206189044","0.111851534218286","0.127656878159802",""
"Gut","2016","(noch) kein Abschluss","825","0.383366438176061","0.363329912606202","0.403402963745919",""
"Gut","2016","Hauptschule","2403","0.294251759454237","0.284049302309184","0.30445421659929",""
"Gut","2016","Realschule","2524","0.398988620296218","0.386717041144485","0.411260199447951",""
"Gut","2016","(Fach-)Abitur","1839","0.450023891172201","0.435013861084671","0.465033921259732",""
"Gut","2016","AkademikerIn","2878","0.439134249185232","0.427054589386706","0.451213908983757",""
"Zufriedenstellend","2016","(noch) kein Abschluss","411","0.203116386062681","0.186536874977858","0.219695897147505",""
"Zufriedenstellend","2016","Hauptschule","2687","0.378596891825818","0.367737748239117","0.389456035412519",""
"Zufriedenstellend","2016","Realschule","2069","0.345464141609163","0.333547687071154","0.357380596147171",""
"Zufriedenstellend","2016","(Fach-)Abitur","1062","0.268669618922186","0.255295722576617","0.282043515267755",""
"Zufriedenstellend","2016","AkademikerIn","1793","0.297487405391162","0.286360153044313","0.30861465773801",""
"Weniger gut","2016","(noch) kein Abschluss","255","0.147471967743014","0.132859927408841","0.162084008077187",""
"Weniger gut","2016","Hauptschule","1424","0.211849850448528","0.202701581897408","0.220998118999648",""
"Weniger gut","2016","Realschule","819","0.144846513361475","0.136026791103304","0.153666235619646",""
"Weniger gut","2016","(Fach-)Abitur","452","0.111985752456526","0.102471312742509","0.121500192170542",""
"Weniger gut","2016","AkademikerIn","718","0.119590966651688","0.111692950436313","0.127488982867063",""
"Schlecht","2016","(noch) kein Abschluss","91","0.0333389182731876","0.0259409126010351","0.04073692394534",""
"Schlecht","2016","Hauptschule","423","0.0638523464503349","0.0583786469658715","0.0693260459347984",""
"Schlecht","2016","Realschule","194","0.0354854158942618","0.0308492581961826","0.040121573592341",""
"Schlecht","2016","(Fach-)Abitur","96","0.0255794153158007","0.0208160883102282","0.0303427423213731",""
"Schlecht","2016","AkademikerIn","139","0.0240331725828747","0.0203053977777242","0.0277609473880251",""
"Sehr gut","2017","(noch) kein Abschluss","899","0.245359441278518","0.229522677593436","0.2611962049636",""
"Sehr gut","2017","Hauptschule","833","0.0544678440910103","0.0495251076985184","0.0594105804835021",""
"Sehr gut","2017","Realschule","594","0.0766890109870588","0.0704611810862302","0.0829168408878875",""
"Sehr gut","2017","(Fach-)Abitur","885","0.140145339554602","0.130358520738582","0.149932158370623",""
"Sehr gut","2017","AkademikerIn","1140","0.137864248480221","0.129926221282752","0.145802275677691",""
"Gut","2017","(noch) kein Abschluss","998","0.345218612708574","0.327720538979714","0.362716686437434",""
"Gut","2017","Hauptschule","2597","0.295961521483151","0.286019492421281","0.305903550545022",""
"Gut","2017","Realschule","2840","0.389392686436865","0.377980441935142","0.400804930938588",""
"Gut","2017","(Fach-)Abitur","2064","0.430861501745527","0.416900469805829","0.444822533685224",""
"Gut","2017","AkademikerIn","3283","0.438302156946611","0.426877659414272","0.449726654478951",""
"Zufriedenstellend","2017","(noch) kein Abschluss","536","0.244087478141878","0.228278510965513","0.259896445318242",""
"Zufriedenstellend","2017","Hauptschule","2805","0.384387159247468","0.373792244281592","0.394982074213344",""
"Zufriedenstellend","2017","Realschule","2439","0.347575564938294","0.336430415415712","0.358720714460876",""
"Zufriedenstellend","2017","(Fach-)Abitur","1286","0.29549032383258","0.282626952505032","0.308353695160127",""
"Zufriedenstellend","2017","AkademikerIn","1958","0.292689153021094","0.28221286573762","0.303165440304568",""
"Weniger gut","2017","(noch) kein Abschluss","305","0.131924824504465","0.119470020181908","0.144379628827022",""
"Weniger gut","2017","Hauptschule","1445","0.204258728722458","0.19547790095321","0.213039556491705",""
"Weniger gut","2017","Realschule","935","0.154230905726014","0.145777965815328","0.162683845636699",""
"Weniger gut","2017","(Fach-)Abitur","503","0.113090921652057","0.104162121236597","0.122019722067517",""
"Weniger gut","2017","AkademikerIn","735","0.108232687397052","0.10107942885923","0.115385945934874",""
"Schlecht","2017","(noch) kein Abschluss","98","0.0334096433665651","0.0267958270892157","0.0400234596439144",""
"Schlecht","2017","Hauptschule","418","0.0609247464559128","0.0557151237929166","0.0661343691189091",""
"Schlecht","2017","Realschule","205","0.0321118319117684","0.0279857171512289","0.036237946672308",""
"Schlecht","2017","(Fach-)Abitur","95","0.0204119132152345","0.0164253073859113","0.0243985190445577",""
"Schlecht","2017","AkademikerIn","130","0.0229117541550212","0.0194667084270095","0.0263567998830329",""
"Sehr gut","2018","(noch) kein Abschluss","905","0.244935522286547","0.228455904764341","0.261415139808753",""
"Sehr gut","2018","Hauptschule","800","0.0589430375303622","0.0536584629123023","0.064227612148422",""
"Sehr gut","2018","Realschule","583","0.0827088113470051","0.0761383852074611","0.089279237486549",""
"Sehr gut","2018","(Fach-)Abitur","884","0.140198181602905","0.130212623213182","0.150183739992627",""
"Sehr gut","2018","AkademikerIn","1100","0.138635579926483","0.130523515976369","0.146747643876598",""
"Gut","2018","(noch) kein Abschluss","849","0.351652954004602","0.33335552273866","0.369950385270544",""
"Gut","2018","Hauptschule","2326","0.286906795675081","0.276757652284121","0.29705593906604",""
"Gut","2018","Realschule","2759","0.396223206764311","0.384555857479019","0.407890556049602",""
"Gut","2018","(Fach-)Abitur","1973","0.423804617940463","0.409592142917959","0.438017092962967",""
"Gut","2018","AkademikerIn","3152","0.441840858553583","0.430183168412621","0.453498548694546",""
"Zufriedenstellend","2018","(noch) kein Abschluss","512","0.213941415529011","0.198226787298011","0.229656043760011",""
"Zufriedenstellend","2018","Hauptschule","2732","0.39618242335712","0.385207884019833","0.407156962694408",""
"Zufriedenstellend","2018","Realschule","2339","0.349820555110665","0.3384441953635","0.36119691485783",""
"Zufriedenstellend","2018","(Fach-)Abitur","1184","0.293364649053056","0.280269707774176","0.306459590331936",""
"Zufriedenstellend","2018","AkademikerIn","1892","0.291068359081438","0.280404847904552","0.301731870258325",""
"Weniger gut","2018","(noch) kein Abschluss","257","0.140797731749298","0.127469431800492","0.154126031698104",""
"Weniger gut","2018","Hauptschule","1367","0.198516176485716","0.189566009180258","0.207466343791173",""
"Weniger gut","2018","Realschule","865","0.137136823469242","0.128931191253858","0.145342455684626",""
"Weniger gut","2018","(Fach-)Abitur","502","0.118579171093817","0.10928099332341","0.127877348864224",""
"Weniger gut","2018","AkademikerIn","703","0.10943092502407","0.102102605617324","0.116759244430817",""
"Schlecht","2018","(noch) kein Abschluss","93","0.048672376430542","0.0404265241476445","0.0569182287134395",""
"Schlecht","2018","Hauptschule","405","0.0594515669517211","0.0541456792128324","0.0647574546906099",""
"Schlecht","2018","Realschule","205","0.0341106033087774","0.0297807574420995","0.0384404491754552",""
"Schlecht","2018","(Fach-)Abitur","101","0.0240533803097593","0.0196467859263273","0.0284599746931912",""
"Schlecht","2018","AkademikerIn","124","0.0190242774144246","0.0158173896212371","0.0222311652076121",""
"Sehr gut","2019","(noch) kein Abschluss","746","0.247260129957525","0.230032354705199","0.264487905209851",""
"Sehr gut","2019","Hauptschule","678","0.0501367759345223","0.0450135861982264","0.0552599656708183",""
"Sehr gut","2019","Realschule","634","0.074663108534201","0.068441767788212","0.08088444928019",""
"Sehr gut","2019","(Fach-)Abitur","802","0.143043178349384","0.133025152796407","0.153061203902361",""
"Sehr gut","2019","AkademikerIn","1289","0.146263303763119","0.138321335525227","0.154205272001011",""
"Gut","2019","(noch) kein Abschluss","833","0.329838558644262","0.311063983359105","0.348613133929419",""
"Gut","2019","Hauptschule","2208","0.296442040914185","0.28572063992037","0.307163441908",""
"Gut","2019","Realschule","2801","0.409379365225895","0.397740830722373","0.421017899729417",""
"Gut","2019","(Fach-)Abitur","2099","0.42381724447763","0.409677598719994","0.437956890235265",""
"Gut","2019","AkademikerIn","3526","0.462449473195628","0.451243740144699","0.473655206246557",""
"Zufriedenstellend","2019","(noch) kein Abschluss","474","0.207405518402067","0.191214828053971","0.223596208750163",""
"Zufriedenstellend","2019","Hauptschule","2493","0.397274479264764","0.385786680324574","0.408762278204954",""
"Zufriedenstellend","2019","Realschule","2301","0.338406167667171","0.327206738815426","0.349605596518916",""
"Zufriedenstellend","2019","(Fach-)Abitur","1207","0.285276058946552","0.27235580894058","0.298196308952524",""
"Zufriedenstellend","2019","AkademikerIn","1971","0.271528573377058","0.261532889524664","0.281524257229452",""
"Weniger gut","2019","(noch) kein Abschluss","266","0.164537965772818","0.149732362347767","0.17934356919787",""
"Weniger gut","2019","Hauptschule","1235","0.199071368882756","0.189697194832566","0.208445542932946",""
"Weniger gut","2019","Realschule","905","0.142285237603445","0.134016630037907","0.150553845168982",""
"Weniger gut","2019","(Fach-)Abitur","498","0.128254764197572","0.11868721654741","0.137822311847735",""
"Weniger gut","2019","AkademikerIn","700","0.102656087485489","0.0958347380699016","0.109477436901076",""
"Schlecht","2019","(noch) kein Abschluss","90","0.0509578272233277","0.0421761413541038","0.0597395130925517",""
"Schlecht","2019","Hauptschule","356","0.0570753350037725","0.0516291243589301","0.0625215456486149",""
"Schlecht","2019","Realschule","216","0.0352661209692886","0.0309003230676347","0.0396319188709425",""
"Schlecht","2019","(Fach-)Abitur","86","0.0196087540288619","0.0156414653674063","0.0235760426903175",""
"Schlecht","2019","AkademikerIn","119","0.0171025621787063","0.0141886049536541","0.0200165194037586",""
"Sehr gut","2020","(noch) kein Abschluss","890","0.236254764932587","0.220001870266548","0.252507659598626",""
"Sehr gut","2020","Hauptschule","832","0.060389185124586","0.0547178810091678","0.0660604892400043",""
"Sehr gut","2020","Realschule","567","0.0803610667028392","0.0736609297277542","0.0870612036779242",""
"Sehr gut","2020","(Fach-)Abitur","1056","0.153186938913165","0.143281730280443","0.163092147545888",""
"Sehr gut","2020","AkademikerIn","1437","0.148092706390621","0.140205152030328","0.155980260750914",""
"Gut","2020","(noch) kein Abschluss","1029","0.398699328057695","0.379965144457785","0.417433511657606",""
"Gut","2020","Hauptschule","2181","0.28510527778284","0.274356650043573","0.295853905522107",""
"Gut","2020","Realschule","2599","0.401029622723728","0.388950286789546","0.413108958657909",""
"Gut","2020","(Fach-)Abitur","2272","0.429048303953574","0.415436622936647","0.442659984970502",""
"Gut","2020","AkademikerIn","3638","0.451067155538172","0.440017224359688","0.462117086716657",""
"Zufriedenstellend","2020","(noch) kein Abschluss","414","0.200426203539986","0.185109239164389","0.215743167915583",""
"Zufriedenstellend","2020","Hauptschule","2261","0.387461535625951","0.375862808570795","0.399060262681107",""
"Zufriedenstellend","2020","Realschule","2156","0.346063009115568","0.334338418093818","0.357787600137318",""
"Zufriedenstellend","2020","(Fach-)Abitur","1221","0.287722886133862","0.275272847939605","0.300172924328119",""
"Zufriedenstellend","2020","AkademikerIn","1884","0.28118472147027","0.271201197351338","0.291168245589203",""
"Weniger gut","2020","(noch) kein Abschluss","221","0.125123085314021","0.112463823655043","0.137782346973",""
"Weniger gut","2020","Hauptschule","1172","0.208088582627631","0.198423806992751","0.217753358262512",""
"Weniger gut","2020","Realschule","825","0.137715866267064","0.129222705458504","0.146209027075624",""
"Weniger gut","2020","(Fach-)Abitur","433","0.106510768862284","0.0980267738268397","0.114994763897729",""
"Weniger gut","2020","AkademikerIn","709","0.103190867626125","0.0964354841807681","0.109946251071481",""
"Schlecht","2020","(noch) kein Abschluss","70","0.0394966181557102","0.0320442280512259","0.0469490082601946",""
"Schlecht","2020","Hauptschule","331","0.0589554188389912","0.0533475698287276","0.0645632678492548",""
"Schlecht","2020","Realschule","177","0.034830435190801","0.0303115280186199","0.0393493423629822",""
"Schlecht","2020","(Fach-)Abitur","97","0.0235311021371137","0.0193623187786545","0.0276998854955729",""
"Schlecht","2020","AkademikerIn","122","0.0164645489748113","0.013638697768646","0.0192904001809766",""
